scenario_id,sweep,model,aircraft_count,speed_kmh,speed_mps,building_density,building_count,vertiport_count,actual_vertiport_count,safety_distance_m,safety_label,weather,total_flights,success_flights,failed_flights,building_risk_count,building_collision_count,aircraft_collision_count,aircraft_conflict_sample_count,collision_risk_count,avg_flight_distance_m,avg_flight_time_s,avg_delay_s,avg_takeoff_pad_delay_s,avg_landing_pad_delay_s,avg_pad_delay_s,max_pad_delay_s,pad_wait_flight_count,avg_detour_distance_m,avg_altitude_changes,avg_path_changes
S001,model_comparison,A,50,240.0,66.66666666666667,0.35,134,8,8,152.4,500ft,disabled,50,6,44,20,20,110,754,130,891.9905394213948,282.1295642566954,270.3939898836636,270.3939898836636,208.80074144700785,479.1947313306712,1331.1844257776465,45,0.0,0.0,0.0
S002,aircraft_count,A,10,240.0,66.66666666666667,0.35,134,8,8,152.4,500ft,disabled,10,6,4,7,7,0,0,7,818.5793946161226,64.6881244934723,23.161731291025923,23.161731291025923,0.0,23.161731291025923,123.03828259030024,3,0.0,0.0,0.0
S003,aircraft_count,A,30,240.0,66.66666666666667,0.35,151,8,8,152.4,500ft,disabled,30,4,26,11,11,23,106,34,806.7138204862614,163.05009149639255,105.78402414934405,105.78402414934405,104.2347030008461,210.01872715019013,572.9631373770428,25,0.0,0.0,0.0
S004,aircraft_count,A,50,240.0,66.66666666666667,0.35,132,8,8,152.4,500ft,disabled,50,4,46,22,22,79,531,101,737.5318710066954,233.32706032365283,296.2517826077335,296.2517826077335,190.38892244498777,486.6407050527211,1133.277632482423,45,0.0,0.0,0.0
S005,aircraft_count,A,100,240.0,66.66666666666667,0.35,137,8,8,152.4,500ft,disabled,100,3,97,73,73,409,4372,482,749.1153714870692,444.6362913784636,740.1770302466124,740.1770302466124,374.6701248036295,1114.847155050242,2517.1551560064713,94,0.0,0.0,0.0
S006,speed,A,50,150.0,41.666666666666664,0.35,147,8,8,152.4,500ft,disabled,50,2,48,40,40,98,740,138,795.2749454046491,264.8442628127697,355.10378862837314,355.10378862837314,208.25992486214165,563.3637134905147,1465.6409263915955,46,0.0,0.0,0.0
S007,speed,A,50,240.0,66.66666666666667,0.35,142,8,8,152.4,500ft,disabled,50,5,45,29,29,103,1246,132,810.3077244609963,336.6448583917105,249.59214929561097,249.59214929561097,270.9929209302113,520.5850702258224,1480.254587262952,44,0.0,0.0,0.0
S008,speed,A,50,300.0,83.33333333333333,0.35,133,8,8,152.4,500ft,disabled,50,0,50,57,57,140,1990,197,756.9931443530465,359.84956258082565,266.55107560428934,266.55107560428934,309.54569243528834,576.0967680395778,1665.9737603217973,47,0.0,0.0,0.0
S009,building_density,A,50,240.0,66.66666666666667,0.2,92,8,8,152.4,500ft,disabled,50,4,46,48,48,109,738,157,795.4658514542746,254.24154685801773,221.00185774104068,221.00185774104068,198.13450286989826,419.1363606109389,1085.8685556095743,47,0.0,0.0,0.0
S010,building_density,A,50,240.0,66.66666666666667,0.35,144,8,8,152.4,500ft,disabled,50,6,44,25,25,78,599,103,742.5919433264341,259.9494884802387,294.16709555330704,294.16709555330704,206.46034323264226,500.6274387859492,1384.2506422803463,45,0.0,0.0,0.0
