scenario_id,sweep,model,vertiport_id,aircraft_id,operation,start_s,end_s,duration_s,pad_delay_s
S001,model_comparison,A,1,0,takeoff,1495.1111260109117,1525.1111260109117,30.0,761.1111260109117
S001,model_comparison,A,6,0,landing,1578.1220664521682,1768.1220664521682,190.0,0.0
S001,model_comparison,A,3,1,takeoff,1842.1479236228417,1872.1479236228417,30.0,997.1479236228417
S001,model_comparison,A,0,1,landing,1882.157641417473,2072.1576414174733,190.00000000000023,0.0
S001,model_comparison,A,4,2,takeoff,1025.7995005190987,1055.7995005190987,30.0,492.79950051909873
S001,model_comparison,A,0,2,landing,1258.2643072339713,1448.2643072339713,190.0,189.60340308551645
S001,model_comparison,A,5,3,takeoff,770.3800419990534,800.3800419990534,30.0,97.38004199905345
S001,model_comparison,A,2,3,landing,1255.6546118724093,1445.6546118724093,190.0,444.63519391411546
S001,model_comparison,A,4,4,takeoff,157.0,187.0,30.0,0.0
S001,model_comparison,A,3,4,landing,362.14792362284174,552.1479236228417,190.0,147.0
S001,model_comparison,A,6,5,takeoff,272.0,302.0,30.0,0.0
S001,model_comparison,A,0,5,landing,335.1084654152536,525.1084654152536,190.0,0.0
S001,model_comparison,A,5,6,takeoff,740.3800419990534,770.3800419990534,30.0,138.38004199905345
S001,model_comparison,A,3,6,landing,1372.1479236228417,1562.1479236228417,190.0,596.4718717636096
S001,model_comparison,A,7,7,takeoff,1001.1791443114744,1031.1791443114744,30.0,437.1791443114744
S001,model_comparison,A,3,7,landing,1182.1479236228417,1372.1479236228417,190.0,107.6376486007689
S001,model_comparison,A,5,8,takeoff,834.0,864.0,30.0,0.0
S001,model_comparison,A,6,8,landing,1768.1220664521682,1958.1220664521682,190.0,875.2707759360151
S001,model_comparison,A,2,9,takeoff,891.060323145946,921.060323145946,30.0,208.06032314594597
S001,model_comparison,A,1,9,landing,1115.1111260109117,1305.1111260109117,190.0,154.88406601984218
S001,model_comparison,A,3,10,takeoff,104.0,134.0,30.0,21.0
S001,model_comparison,A,5,10,landing,140.38004199905342,330.38004199905345,190.00000000000003,0.0
S001,model_comparison,A,7,11,takeoff,236.0,266.0,30.0,0.0
S001,model_comparison,A,4,11,landing,615.7995005190987,805.7995005190987,190.0,300.43154874523
S001,model_comparison,A,5,12,takeoff,710.3800419990534,740.3800419990534,30.0,234.38004199905345
S001,model_comparison,A,7,12,landing,811.1791443114744,1001.1791443114744,190.0,51.28335637200212
S001,model_comparison,A,0,13,takeoff,661.0,691.0,30.0,0.0
S001,model_comparison,A,2,13,landing,701.060323145946,891.060323145946,190.0,0.0
S001,model_comparison,A,0,14,takeoff,860.0,890.0,30.0,0.0
S001,model_comparison,A,7,14,landing,2235.47905433344,2425.47905433344,190.0,1331.1844257776465
S001,model_comparison,A,6,15,takeoff,822.0,852.0,30.0,0.0
S001,model_comparison,A,7,15,landing,1353.8264506293228,1543.8264506293228,190.0,435.4686888513687
S001,model_comparison,A,1,16,takeoff,1085.1111260109117,1115.1111260109117,30.0,442.1111260109117
S001,model_comparison,A,7,16,landing,1163.8264506293228,1353.8264506293228,190.0,0.0
S001,model_comparison,A,4,17,takeoff,1055.7995005190987,1085.7995005190987,30.0,451.79950051909873
S001,model_comparison,A,6,17,landing,1137.6220139097336,1327.6220139097336,190.0,0.0
S001,model_comparison,A,6,18,takeoff,1097.5369060894286,1127.5369060894286,30.0,206.5369060894286
S001,model_comparison,A,5,18,landing,1317.4722287444563,1507.4722287444563,190.0,160.0
S001,model_comparison,A,2,19,takeoff,951.060323145946,981.060323145946,30.0,62.06032314594597
S001,model_comparison,A,4,19,landing,2000.2958472456833,2190.295847245683,189.99999999999977,979.3804127464267
S001,model_comparison,A,6,20,takeoff,366.0,396.0,30.0,0.0
