scenario_id,sweep,model,flight_id,aircraft_id,planned_start_time,start_time,cruise_arrival_time,descent_start_time,end_time,delay_s,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s,takeoff_pad_start_s,takeoff_pad_end_s,landing_pad_start_s,landing_pad_end_s,cruise_altitude,distance_m,detour_distance_m,building_risks,building_collisions,path_changes,altitude_changes
S4,continuous,D,0,81,0.0,0.0,94.95428554086641,94.95428554086641,156.9623933510499,0.0,0.0,0.0,0.0,0.0,30.0,146.9623933510499,336.9623933510499,350.0,3447.812126340451,0.0,0,0,0,1
S4,continuous,D,1,158,30.0,30.0,95.90335632510346,95.90335632510346,114.98993399776006,0.0,0.0,0.0,0.0,30.0,60.0,104.98993399776006,294.9899339977601,300.0,1913.1425279352861,0.0,0,0,0,0
S4,continuous,D,2,99,60.0,60.0,129.00684728778683,129.00684728778683,145.37045570632296,0.0,0.0,0.0,0.0,60.0,90.0,135.37045570632296,325.37045570632296,300.0,2010.3598303368487,0.0,0,0,0,0
S4,continuous,D,3,108,90.0,90.0,141.11886531418122,141.11886531418122,165.77600294777938,0.0,0.0,0.0,0.0,90.0,120.0,155.77600294777938,345.7760029477794,300.0,1165.904506462261,0.0,0,0,0,0
S4,continuous,D,4,38,120.0,120.0,176.50417477119714,176.50417477119714,201.2669725931799,0.0,0.0,0.0,0.0,120.0,150.0,191.2669725931799,381.2669725931799,350.0,3250.679752396806,0.0,0,0,0,1
S4,continuous,D,5,93,150.0,150.0,234.21585492696406,234.21585492696406,272.5721609159016,0.0,0.0,0.0,0.0,150.0,180.0,262.5721609159016,452.5721609159016,300.0,4168.9986224299755,0.0,0,0,0,0
S4,continuous,D,6,12,180.0,180.0,265.79673165118766,265.79673165118766,290.5527514609348,0.0,0.0,0.0,0.0,180.0,210.0,280.5527514609348,470.5527514609348,350.0,5219.9614899319295,0.0,0,0,0,1
S4,continuous,D,7,188,210.0,210.0,252.75298786083906,252.75298786083906,269.26667734355567,0.0,0.0,0.0,0.0,210.0,240.0,259.26667734355567,449.26667734355567,350.0,1760.8230308886996,0.0,0,0,0,1
S4,continuous,D,8,16,240.0,240.0,249.2036529810892,319.00684728778685,335.37045570632296,0.0,0.0,69.80319430669763,69.80319430669763,240.0,270.0,325.37045570632296,515.3704557063229,300.0,671.9823527057079,0.0,0,0,0,0
S4,continuous,D,9,89,270.0,270.0,346.9519943331681,346.9519943331681,385.92855911484,0.0,0.0,0.0,0.0,270.0,300.0,375.92855911484,565.92855911484,350.0,3176.7819076408514,0.0,0,0,0,1
S4,continuous,D,10,90,300.0,300.0,413.91640312967127,413.91640312967127,434.83464368981356,0.0,0.0,0.0,0.0,300.0,330.0,424.83464368981356,614.8346436898136,350.0,4280.470098409015,0.0,0,0,0,1
S4,continuous,D,11,164,330.0,330.0,415.5330138734873,415.5330138734873,462.46223762573857,0.0,0.0,0.0,0.0,330.0,360.0,452.46223762573857,642.4622376257386,300.0,3360.9995948921787,0.0,0,0,0,0
S4,continuous,D,12,155,360.0,360.0,441.5784555868366,441.5784555868366,492.5273834599645,0.0,0.0,0.0,0.0,360.0,390.0,482.5273834599645,672.5273834599645,350.0,2429.0522088451307,0.0,0,0,0,1
S4,continuous,D,13,174,390.0,390.0,422.29293216254973,422.29293216254973,465.6212786102517,0.0,0.0,0.0,0.0,390.0,420.0,455.6212786102517,645.6212786102517,300.0,2346.091321615573,0.0,0,0,0,0
S4,continuous,D,14,162,420.0,515.3704557063229,581.1856273126666,581.1856273126666,633.2868181928567,95.3704557063229,95.3704557063229,0.0,95.3704557063229,515.3704557063229,545.3704557063229,623.2868181928567,813.2868181928567,350.0,3022.428209014131,0.0,0,0,0,1
S4,continuous,D,15,34,450.0,450.0,533.8518307862757,533.8518307862757,578.2871014045851,0.0,0.0,0.0,0.0,450.0,480.0,568.2871014045851,758.2871014045851,350.0,2619.7842900750325,0.0,0,0,0,1
S4,continuous,D,16,71,480.0,480.0,526.4404786477492,526.4404786477492,569.3743619392565,0.0,0.0,0.0,0.0,480.0,510.0,559.3743619392565,749.3743619392565,300.0,1187.1929715117353,0.0,0,0,0,0
S4,continuous,D,17,96,510.0,749.3743619392565,815.7704733070665,815.7704733070665,834.7749804516203,239.37436193925646,179.37436193925646,0.0,179.37436193925646,749.3743619392565,779.3743619392565,824.7749804516203,1014.7749804516203,350.0,1257.1738239338208,0.0,0,0,0,1
S4,continuous,D,18,101,540.0,614.8346436898136,666.1931566482189,666.1931566482189,689.9554109640283,74.83464368981356,74.83464368981356,0.0,74.83464368981356,614.8346436898136,644.8346436898136,679.9554109640283,869.9554109640283,350.0,2252.7539675972953,0.0,0,0,0,1
S4,continuous,D,19,33,570.0,570.0,649.8300948825427,649.8300948825427,708.2531926621302,0.0,0.0,0.0,0.0,570.0,600.0,698.2531926621302,888.2531926621302,350.0,3465.8879425887376,0.0,0,0,0,1
S4,continuous,D,20,123,600.0,600.0,631.8337027813691,631.8337027813691,666.8216186975831,0.0,0.0,0.0,0.0,600.0,630.0,656.8216186975831,846.8216186975831,300.0,1448.5140821974287,0.0,0,0,0,0
S4,continuous,D,21,20,630.0,813.2868181928567,924.5895206843651,924.5895206843651,965.538448557493,183.28681819285669,183.28681819285669,0.0,183.28681819285669,813.2868181928567,843.2868181928567,955.538448557493,1145.538448557493,300.0,5028.684701187809,0.7384338158108221,2,0,2,0
S4,continuous,D,22,16,660.0,846.8216186975831,933.9299297995984,933.9299297995984,972.9064945812704,186.82161869758306,186.82161869758306,0.0,186.82161869758306,846.8216186975831,876.8216186975831,962.9064945812704,1152.9064945812704,350.0,3227.8487492095187,0.0,0,0,0,1
