scenario_id,sweep,model,vertiport_id,flight_id,aircraft_id,operation,start_s,end_s,duration_s,pad_delay_s
S4,continuous,D,14,0,81,takeoff,0.0,30.0,30.0,0.0
S4,continuous,D,28,0,81,landing,146.9623933510499,336.9623933510499,190.0,0.0
S4,continuous,D,14,1,158,takeoff,30.0,60.0,30.0,0.0
S4,continuous,D,5,1,158,landing,104.98993399776006,294.9899339977601,190.00000000000003,0.0
S4,continuous,D,2,2,99,takeoff,60.0,90.0,30.0,0.0
S4,continuous,D,20,2,99,landing,135.37045570632296,325.37045570632296,190.0,0.0
S4,continuous,D,21,3,108,takeoff,90.0,120.0,30.0,0.0
S4,continuous,D,6,3,108,landing,155.77600294777938,345.7760029477794,190.0,0.0
S4,continuous,D,31,4,38,takeoff,120.0,150.0,30.0,0.0
S4,continuous,D,19,4,38,landing,191.2669725931799,381.2669725931799,190.0,0.0
S4,continuous,D,13,5,93,takeoff,150.0,180.0,30.0,0.0
S4,continuous,D,21,5,93,landing,262.5721609159016,452.5721609159016,190.0,0.0
S4,continuous,D,16,6,12,takeoff,180.0,210.0,30.0,0.0
S4,continuous,D,12,6,12,landing,280.5527514609348,470.5527514609348,190.0,0.0
S4,continuous,D,22,7,188,takeoff,210.0,240.0,30.0,0.0
S4,continuous,D,18,7,188,landing,259.26667734355567,449.26667734355567,190.0,0.0
S4,continuous,D,31,8,16,takeoff,240.0,270.0,30.0,0.0
S4,continuous,D,20,8,16,landing,325.37045570632296,515.3704557063229,189.99999999999994,69.80319430669763
S4,continuous,D,30,9,89,takeoff,270.0,300.0,30.0,0.0
S4,continuous,D,7,9,89,landing,375.92855911484,565.92855911484,190.0,0.0
S4,continuous,D,9,10,90,takeoff,300.0,330.0,30.0,0.0
S4,continuous,D,1,10,90,landing,424.83464368981356,614.8346436898136,190.0,0.0
S4,continuous,D,14,11,164,takeoff,330.0,360.0,30.0,0.0
S4,continuous,D,8,11,164,landing,452.46223762573857,642.4622376257386,190.0,0.0
S4,continuous,D,25,12,155,takeoff,360.0,390.0,30.0,0.0
S4,continuous,D,4,12,155,landing,482.5273834599645,672.5273834599645,190.00000000000006,0.0
