scenario_id,sweep,model,flight_id,aircraft_id,time_s,x,y,z,phase,cruise_altitude,start_time,cruise_arrival_time,descent_start_time,end_time,origin_id,destination_id,speed_kmh,safety_distance_m,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s
S4,continuous,D,0,81,0.0,3456.865,2150.79,91.148,climb,350.0,0.0,94.954,94.954,156.962,14,28,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,81,8.628,3456.865,2150.79,134.29,climb,350.0,0.0,94.954,94.954,156.962,14,28,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,81,17.257,3456.865,2150.79,177.432,climb,350.0,0.0,94.954,94.954,156.962,14,28,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,81,25.885,3456.865,2150.79,220.574,climb,350.0,0.0,94.954,94.954,156.962,14,28,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,81,34.514,3456.865,2150.79,263.716,climb,350.0,0.0,94.954,94.954,156.962,14,28,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,81,43.142,3456.865,2150.79,306.858,climb,350.0,0.0,94.954,94.954,156.962,14,28,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,81,51.77,3456.865,2150.79,350.0,climb,350.0,0.0,94.954,94.954,156.962,14,28,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,81,51.77,3456.865,2150.79,350.0,cruise,350.0,0.0,94.954,94.954,156.962,14,28,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,81,60.407,2916.521,1951.905,350.0,cruise,350.0,0.0,94.954,94.954,156.962,14,28,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,81,69.044,2376.177,1753.021,350.0,cruise,350.0,0.0,94.954,94.954,156.962,14,28,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,81,77.681,1835.832,1554.136,350.0,cruise,350.0,0.0,94.954,94.954,156.962,14,28,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,81,86.318,1295.488,1355.251,350.0,cruise,350.0,0.0,94.954,94.954,156.962,14,28,240.0,152.4,0.0,0.0,0.0
