aircraft_id,mission_count
0,0
1,0
2,0
3,1
4,2
5,0
6,0
7,0
8,2
9,0
10,2
11,1
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,1
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,1
34,1
35,2
36,2
37,0
38,3
39,1
40,0
41,3
42,2
43,0
44,1
45,1
46,0
47,0
48,1
49,2
50,1
51,2
52,1
53,1
54,0
55,0
56,2
57,2
58,0
59,0
60,1
61,3
62,2
63,0
64,1
65,0
66,1
67,3
68,0
69,1
70,1
71,0
72,2
73,1
74,2
75,2
76,3
77,0
78,3
79,1
80,1
81,0
82,0
83,0
84,1
85,1
86,4
87,1
88,3
89,1
90,0
91,1
92,2
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,1
101,0
102,0
103,1
104,1
105,3
106,0
107,1
108,0
109,0
110,2
111,1
112,0
113,0
114,1
115,2
116,0
117,1
118,0
119,0
120,1
121,1
122,1
123,0
124,0
125,1
126,0
127,0
128,1
129,1
130,0
131,0
132,1
133,1
134,0
135,1
136,0
137,1
138,0
139,0
140,1
141,1
142,0
143,2
144,1
145,1
146,1
147,0
148,1
149,0
150,1
151,0
152,0
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,2
161,3
162,1
163,0
164,0
165,1
166,1
167,1
168,0
169,1
170,1
171,1
172,2
173,1
174,0
175,3
176,2
177,4
178,0
179,1
180,3
181,2
182,0
183,0
184,1
185,1
186,0
187,0
188,0
189,1
190,1
191,1
192,1
193,0
194,1
195,0
196,1
197,0
198,0
199,0
200,1
201,1
202,1
203,1
204,1
205,0
206,0
207,1
208,0
209,0
210,0
211,1
212,1
213,0
214,0
215,0
216,1
217,0
218,1
219,2
220,0
221,1
222,1
223,0
224,2
225,1
226,2
227,1
228,2
229,0
230,1
231,0
232,0
233,0
234,1
235,0
236,0
237,1
238,2
239,2
240,3
241,0
242,0
243,2
244,2
245,2
246,0
247,1
248,1
249,2
250,2
251,1
252,3
253,2
254,0
255,0
256,0
257,1
258,0
259,0
260,3
261,0
262,0
263,0
264,0
265,1
266,0
267,1
268,2
269,1
270,0
271,0
272,0
273,1
274,1
275,0
276,0
277,1
278,0
279,2
280,1
281,0
282,0
283,0
284,1
285,2
286,0
287,0
288,1
289,1
290,0
291,0
292,0
293,0
294,2
295,1
296,0
297,2
298,0
299,0
