aircraft_id,mission_count
0,10
1,13
2,10
3,10
4,10
5,11
6,10
7,10
8,10
9,9
10,12
11,11
12,11
13,11
14,9
15,10
16,13
17,11
18,12
19,10
20,11
21,11
22,9
23,10
24,11
25,12
26,10
27,10
28,11
29,12
30,9
31,10
32,13
33,11
34,10
35,10
36,9
37,9
38,11
39,11
40,11
41,13
42,10
43,9
44,10
45,12
46,11
47,10
48,12
49,13
50,13
51,10
52,11
53,9
54,9
55,10
56,11
57,12
58,10
59,12
60,10
61,10
62,13
63,10
64,13
65,9
66,9
67,11
68,12
69,10
70,10
71,12
72,10
73,14
74,9
75,12
76,11
77,11
78,12
79,11
80,10
81,9
82,10
83,11
84,13
85,11
86,11
87,12
88,14
89,10
90,12
91,13
92,10
93,11
94,11
95,11
96,11
97,10
98,10
99,10
