scenario_id,sweep,model,flight_id,aircraft_id,planned_start_time,start_time,cruise_arrival_time,descent_start_time,end_time,delay_s,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s,takeoff_pad_start_s,takeoff_pad_end_s,landing_pad_start_s,landing_pad_end_s,cruise_altitude,distance_m,detour_distance_m,building_risks,building_collisions,path_changes,altitude_changes
S2,continuous,D,0,84,0.0,0.0,42.089757819321896,42.089757819321896,86.70626324417157,0.0,0.0,0.0,0.0,0.0,30.0,76.70626324417157,266.70626324417157,350.0,1327.9810379206467,0.0,0,0,0,1
S2,continuous,D,1,59,10.0,10.0,50.00930249440047,50.00930249440047,84.86651373362841,0.0,0.0,0.0,0.0,10.0,40.0,74.86651373362841,264.8665137336284,350.0,1452.7639180473795,0.0,0,0,0,1
S2,continuous,D,2,27,20.0,266.70626324417157,325.63719145495145,325.63719145495145,377.46272976632883,246.70626324417157,186.70626324417157,0.0,186.70626324417157,266.70626324417157,296.70626324417157,367.46272976632883,557.4627297663288,350.0,1436.5050710764822,0.0,0,0,0,1
S2,continuous,D,3,57,30.0,40.0,77.31854298167325,77.31854298167325,139.56146564322458,10.0,10.0,0.0,10.0,40.0,70.0,129.56146564322458,319.56146564322455,350.0,1410.3085076438479,0.0,0,0,0,1
S2,continuous,D,4,70,40.0,40.0,111.58473494128535,111.58473494128535,153.4102732526627,0.0,0.0,0.0,0.0,40.0,70.0,143.41027325266273,333.4102732526627,300.0,1939.6713492295485,0.0,0,0,0,0
S2,continuous,D,5,76,50.0,110.0,155.78519430577546,277.3185429816732,329.56146564322455,60.0,0.0,121.53334867589777,121.53334867589777,110.0,140.0,319.56146564322455,509.56146564322455,300.0,1003.7971617558943,0.0,0,0,0,0
S2,continuous,D,6,67,60.0,296.70626324417157,341.87826213298206,341.87826213298206,389.6483847484596,236.70626324417157,236.70626324417157,0.0,236.70626324417157,296.70626324417157,326.70626324417157,379.6483847484596,569.6483847484596,300.0,1115.6327044656923,0.0,0,0,0,0
S2,continuous,D,7,78,70.0,70.0,130.1919052928359,505.63719145495145,567.4627297663288,0.0,0.0,375.44528616211556,375.44528616211556,70.0,100.0,557.4627297663288,747.4627297663288,400.0,1633.8723908835418,0.0,0,0,0,1
S2,continuous,D,8,46,80.0,200.0,266.2202782011166,266.2202782011166,340.8367836259663,120.0,0.0,0.0,0.0,200.0,230.0,330.8367836259663,520.8367836259663,500.0,866.3854203362862,0.0,0,0,0,1
S2,continuous,D,9,6,90.0,150.0,227.92727430399935,521.8782621329822,579.6483847484596,60.0,0.0,293.95098782898276,293.95098782898276,150.0,180.0,569.6483847484596,759.6483847484596,350.0,1825.5635615976503,0.0,0,0,0,1
S2,continuous,D,10,64,100.0,100.0,174.49956907242733,174.49956907242733,197.0207956309483,0.0,0.0,0.0,0.0,100.0,130.0,187.0207956309483,377.0207956309483,350.0,1344.8786922995246,0.0,0,0,0,1
S2,continuous,D,11,89,110.0,110.0,186.1325907561377,701.8782621329822,769.6483847484596,0.0,0.0,515.7456713768445,515.7456713768445,110.0,140.0,759.6483847484596,949.6483847484596,400.0,1603.1437437822574,0.0,0,0,0,1
S2,continuous,D,12,30,120.0,120.0,188.4851081469184,364.49956907242733,387.02079563094827,0.0,0.0,176.01446092550896,176.01446092550896,120.0,150.0,377.0207956309483,567.0207956309483,350.0,1019.8413375074713,0.0,0,0,0,1
S2,continuous,D,13,80,130.0,949.6483847484596,1001.5251465867582,1001.5251465867582,1043.3506848981356,819.6483847484596,579.6483847484596,0.0,579.6483847484596,949.6483847484596,979.6483847484596,1033.3506848981356,1223.3506848981356,300.0,721.7542528223444,0.0,0,0,0,0
S2,continuous,D,14,62,140.0,140.0,172.90675310406624,172.90675310406624,222.2327856188721,0.0,0.0,0.0,0.0,140.0,170.0,212.2327856188721,402.2327856188721,300.0,1355.9950256867178,0.0,0,0,0,0
