scenario_id,sweep,model,vertiport_id,flight_id,aircraft_id,operation,start_s,end_s,duration_s,pad_delay_s
S2,continuous,B,11,0,80,takeoff,0.0,30.0,30.0,0.0
S2,continuous,B,0,0,80,landing,53.567799103859215,243.56779910385922,190.0,0.0
S2,continuous,B,10,1,63,takeoff,10.0,40.0,30.0,0.0
S2,continuous,B,8,1,63,landing,69.4498002314456,259.4498002314456,190.0,0.0
S2,continuous,B,8,2,35,takeoff,20.0,50.0,30.0,0.0
S2,continuous,B,1,2,35,landing,39.57422110586472,229.57422110586472,190.0,0.0
S2,continuous,B,2,3,0,takeoff,30.0,60.0,30.0,0.0
S2,continuous,B,7,3,0,landing,104.64140627030245,294.64140627030247,190.0,0.0
S2,continuous,B,8,4,10,takeoff,259.4498002314456,289.4498002314456,30.0,219.44980023144558
S2,continuous,B,4,4,10,landing,319.65648209326895,509.65648209326895,190.0,0.0
S2,continuous,B,9,5,34,takeoff,50.0,80.0,30.0,0.0
S2,continuous,B,10,5,34,landing,152.92430461974686,342.92430461974686,190.0,0.0
S2,continuous,B,0,6,68,takeoff,243.56779910385922,273.5677991038592,30.0,183.56779910385922
S2,continuous,B,9,6,68,landing,340.5475359040246,530.5475359040246,190.0,0.0
S2,continuous,B,7,7,44,takeoff,70.0,100.0,30.0,0.0
S2,continuous,B,3,7,44,landing,135.101367938613,325.101367938613,190.0,0.0
S2,continuous,B,7,8,30,takeoff,294.64140627030247,324.64140627030247,30.0,214.64140627030247
S2,continuous,B,10,8,30,landing,369.175804377344,559.175804377344,190.0,0.0
S2,continuous,B,11,9,49,takeoff,90.0,120.0,30.0,0.0
S2,continuous,B,1,9,49,landing,229.57422110586472,419.5742211058647,189.99999999999997,79.33582438895584
S2,continuous,B,11,10,80,takeoff,120.0,150.0,30.0,20.0
S2,continuous,B,3,10,80,landing,325.101367938613,515.1013679386131,190.00000000000006,104.71480510335209
S2,continuous,B,7,11,43,takeoff,324.64140627030247,354.64140627030247,30.0,214.64140627030247
S2,continuous,B,2,11,43,landing,399.2828125406049,589.2828125406049,190.00000000000006,0.0
S2,continuous,B,0,12,64,takeoff,273.5677991038592,303.5677991038592,30.0,153.56779910385922
S2,continuous,B,4,12,64,landing,509.65648209326895,699.656482093269,190.00000000000006,203.5992259237608
S2,continuous,B,7,13,54,takeoff,354.64140627030247,384.64140627030247,30.0,224.64140627030247
S2,continuous,B,1,13,54,landing,420.7302139795475,610.7302139795474,189.99999999999994,0.0
S2,continuous,B,3,14,6,takeoff,515.1013679386131,545.1013679386131,30.0,375.10136793861307
S2,continuous,B,1,14,6,landing,610.7302139795474,800.7302139795474,190.0,38.76681383871005
S2,continuous,B,5,15,22,takeoff,150.0,180.0,30.0,0.0
S2,continuous,B,9,15,22,landing,530.5475359040246,720.5475359040246,190.0,282.26821167153605
S2,continuous,B,6,16,20,takeoff,160.0,190.0,30.0,0.0
S2,continuous,B,9,16,20,landing,720.5475359040246,910.5475359040246,190.0,491.9348486471238
S2,continuous,B,4,17,70,takeoff,170.0,200.0,30.0,0.0
S2,continuous,B,9,17,70,landing,910.5475359040246,1100.5475359040247,190.0000000000001,634.1650628500327
S2,continuous,B,6,18,75,takeoff,190.0,220.0,30.0,10.0
S2,continuous,B,8,18,75,landing,289.4498002314456,479.4498002314456,190.0,75.74884839922825
S2,continuous,B,1,19,57,takeoff,800.7302139795474,830.7302139795474,30.0,610.7302139795474
S2,continuous,B,3,19,57,landing,857.5922461817718,1047.5922461817718,190.0,0.0
S2,continuous,B,10,20,25,takeoff,559.175804377344,589.175804377344,30.0,359.175804377344
S2,continuous,B,5,20,25,landing,640.9827652736061,830.9827652736061,190.0,0.0
S2,continuous,B,1,21,69,takeoff,830.7302139795474,860.7302139795474,30.0,620.7302139795474
S2,continuous,B,6,21,69,landing,870.7480277294234,1060.7480277294235,190.0000000000001,0.0
S2,continuous,B,8,22,14,takeoff,479.4498002314456,509.4498002314456,30.0,259.4498002314456
S2,continuous,B,2,22,14,landing,589.2828125406049,779.2828125406049,190.0,52.44178524351423
S2,continuous,B,7,23,92,takeoff,384.64140627030247,414.64140627030247,30.0,154.64140627030247
S2,continuous,B,5,23,92,landing,830.9827652736061,1020.9827652736061,190.0,345.31890487863956
S2,continuous,B,11,24,90,takeoff,240.0,270.0,30.0,0.0
S2,continuous,B,6,24,90,landing,327.5757382260567,517.5757382260567,190.0,0.0
S2,continuous,B,2,25,16,takeoff,250.0,280.0,30.0,0.0
S2,continuous,B,8,25,16,landing,509.4498002314456,699.4498002314456,190.0,202.05857316580057
S2,continuous,B,9,26,15,takeoff,260.0,290.0,30.0,0.0
S2,continuous,B,5,26,15,landing,358.27932423248853,548.2793242324885,190.0,0.0
S2,continuous,B,0,27,0,takeoff,303.5677991038592,333.5677991038592,30.0,33.567799103859215
S2,continuous,B,4,27,0,landing,699.656482093269,889.656482093269,190.0,363.59922592376086
S2,continuous,B,2,28,2,takeoff,280.0,310.0,30.0,0.0
S2,continuous,B,1,28,2,landing,860.7302139795474,1050.7302139795474,190.0,525.5004466846608
S2,continuous,B,1,29,96,takeoff,1050.7302139795474,1080.7302139795474,30.0,760.7302139795474
S2,continuous,B,6,29,96,landing,1090.7480277294233,1280.7480277294233,190.0,0.0
S2,continuous,B,9,30,81,takeoff,300.0,330.0,30.0,0.0
S2,continuous,B,3,30,81,landing,545.1013679386131,735.1013679386131,190.0,138.67687985145602
S2,continuous,B,2,31,37,takeoff,310.0,340.0,30.0,0.0
S2,continuous,B,6,31,37,landing,517.5757382260567,707.5757382260567,190.0,140.5048308291989
S2,continuous,B,1,32,44,takeoff,1080.7302139795474,1110.7302139795474,30.0,760.7302139795474
S2,continuous,B,10,32,44,landing,1118.694282035621,1308.694282035621,190.0,0.0
S2,continuous,B,2,33,89,takeoff,340.0,370.0,30.0,10.0
S2,continuous,B,3,33,89,landing,1047.5922461817718,1237.5922461817718,190.0,627.7075983959703
S2,continuous,B,5,34,17,takeoff,548.2793242324885,578.2793242324885,30.0,208.27932423248853
S2,continuous,B,7,34,17,landing,649.3017783571526,839.3017783571526,190.0,0.0
S2,continuous,B,0,35,45,takeoff,350.0,380.0,30.0,0.0
S2,continuous,B,7,35,45,landing,420.4837490523006,610.4837490523006,190.0,0.0
S2,continuous,B,7,36,93,takeoff,610.4837490523006,640.4837490523006,30.0,250.4837490523006
S2,continuous,B,9,36,93,landing,1100.5475359040247,1290.5475359040247,190.0,390.5919430380943
S2,continuous,B,7,37,18,takeoff,839.3017783571526,869.3017783571526,30.0,469.30177835715256
S2,continuous,B,0,37,18,landing,909.7855274094532,1099.7855274094532,190.0,0.0
S2,continuous,B,3,38,4,takeoff,735.1013679386131,765.1013679386131,30.0,355.10136793861307
S2,continuous,B,5,38,4,landing,1020.9827652736061,1210.9827652736062,190.0000000000001,208.22116620045495
S2,continuous,B,5,39,87,takeoff,578.2793242324885,608.2793242324885,30.0,188.27932423248853
S2,continuous,B,6,39,87,landing,1280.7480277294233,1470.7480277294233,190.0,644.8186615479633
S2,continuous,B,6,40,82,takeoff,707.5757382260567,737.5757382260567,30.0,307.5757382260567
S2,continuous,B,3,40,82,landing,1237.5922461817718,1427.5922461817718,190.0,467.8170168936573
S2,continuous,B,0,41,53,takeoff,410.0,440.0,30.0,0.0
S2,continuous,B,11,41,53,landing,463.5677991038592,653.5677991038592,190.0,0.0
S2,continuous,B,2,42,94,takeoff,779.2828125406049,809.2828125406049,30.0,359.28281254060494
S2,continuous,B,1,42,94,landing,1110.7302139795474,1300.7302139795474,190.0,276.21763414405575
S2,continuous,B,0,43,91,takeoff,440.0,470.0,30.0,10.0
S2,continuous,B,6,43,91,landing,1470.7480277294233,1660.7480277294233,190.0,974.7441147477679
S2,continuous,B,9,44,88,takeoff,1290.5475359040247,1320.5475359040247,30.0,850.5475359040247
S2,continuous,B,1,44,88,landing,1378.8206888580166,1568.8206888580166,190.0,0.0
S2,continuous,B,6,45,60,takeoff,737.5757382260567,767.5757382260567,30.0,287.5757382260567
S2,continuous,B,10,45,60,landing,806.4552871602999,996.4552871602999,190.0,0.0
S2,continuous,B,0,46,26,takeoff,470.0,500.0,30.0,10.0
S2,continuous,B,10,46,26,landing,589.175804377344,779.175804377344,190.0,66.2944484974123
S2,continuous,B,10,47,85,takeoff,996.4552871602999,1026.4552871603,30.000000000000114,526.4552871602999
S2,continuous,B,7,47,85,landing,1070.9896852673414,1260.9896852673414,190.0,0.0
S2,continuous,B,1,48,27,takeoff,1300.7302139795474,1330.7302139795474,30.0,820.7302139795474
S2,continuous,B,3,48,27,landing,1427.5922461817718,1617.5922461817718,190.0,70.0
