scenario_id,sweep,model,flight_id,aircraft_id,time_s,x,y,z,phase,cruise_altitude,start_time,cruise_arrival_time,descent_start_time,end_time,origin_id,destination_id,speed_kmh,safety_distance_m,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s
S2,continuous,A,0,56,0.0,1875.466,1975.917,260.547,climb,300.0,0.0,29.056,29.056,30.925,8,1,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,0,56,7.891,1875.466,1975.917,300.0,climb,300.0,0.0,29.056,29.056,30.925,8,1,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,0,56,7.891,1875.466,1975.917,300.0,cruise,300.0,0.0,29.056,29.056,30.925,8,1,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,0,56,14.946,1659.03,1558.341,300.0,cruise,300.0,0.0,29.056,29.056,30.925,8,1,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,0,56,22.001,1442.593,1140.766,300.0,cruise,300.0,0.0,29.056,29.056,30.925,8,1,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,0,56,29.056,1226.156,723.19,300.0,cruise,300.0,0.0,29.056,29.056,30.925,8,1,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,0,56,29.056,1226.156,723.19,300.0,descend,300.0,0.0,29.056,29.056,30.925,8,1,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,0,56,30.925,1226.156,723.19,290.652,descend,300.0,0.0,29.056,29.056,30.925,8,1,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,1,45,10.0,1875.26,1424.758,287.983,climb,300.0,10.0,43.354,43.354,60.584,9,2,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,1,45,12.403,1875.26,1424.758,300.0,climb,300.0,10.0,43.354,43.354,60.584,9,2,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,1,45,12.403,1875.26,1424.758,300.0,cruise,300.0,10.0,43.354,43.354,60.584,9,2,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,1,45,20.141,1424.191,1174.492,300.0,cruise,300.0,10.0,43.354,43.354,60.584,9,2,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,1,45,27.879,973.122,924.225,300.0,cruise,300.0,10.0,43.354,43.354,60.584,9,2,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,1,45,35.616,522.053,673.958,300.0,cruise,300.0,10.0,43.354,43.354,60.584,9,2,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,1,45,43.354,70.984,423.692,300.0,cruise,300.0,10.0,43.354,43.354,60.584,9,2,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,1,45,43.354,70.984,423.692,300.0,descend,300.0,10.0,43.354,43.354,60.584,9,2,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,1,45,51.969,70.984,423.692,256.924,descend,300.0,10.0,43.354,43.354,60.584,9,2,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,1,45,60.584,70.984,423.692,213.849,descend,300.0,10.0,43.354,43.354,60.584,9,2,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,20.0,678.465,1378.262,147.94,climb,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,27.603,678.465,1378.262,185.955,climb,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,35.206,678.465,1378.262,223.97,climb,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,42.809,678.465,1378.262,261.985,climb,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,50.412,678.465,1378.262,300.0,climb,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,50.412,678.465,1378.262,300.0,cruise,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,59.113,871.988,831.438,300.0,cruise,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,59.113,871.988,831.438,300.0,descend,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,67.5,871.988,831.438,258.066,descend,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,75.887,871.988,831.438,216.131,descend,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,84.273,871.988,831.438,174.197,descend,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,92.66,871.988,831.438,132.262,descend,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,101.047,871.988,831.438,90.328,descend,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,2,60,109.434,871.988,831.438,48.393,descend,300.0,20.0,59.113,59.113,109.434,7,0,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,30.0,871.988,831.438,48.393,climb,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,38.387,871.988,831.438,90.328,climb,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,46.774,871.988,831.438,132.262,climb,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,55.161,871.988,831.438,174.197,climb,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,63.548,871.988,831.438,216.131,climb,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,71.934,871.988,831.438,258.066,climb,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,80.321,871.988,831.438,300.0,climb,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,80.321,871.988,831.438,300.0,cruise,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,90.296,1248.424,1379.599,300.0,cruise,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,100.27,1624.86,1927.76,300.0,cruise,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,100.27,1624.86,1927.76,300.0,descend,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,110.059,1624.86,1927.76,251.059,descend,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,119.847,1624.86,1927.76,202.118,descend,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,129.635,1624.86,1927.76,153.176,descend,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,3,1,139.423,1624.86,1927.76,104.235,descend,300.0,30.0,100.27,100.27,139.423,0,10,240.0,152.4,0.0,0.0,0.0
S2,continuous,A,4,92,40.0,119.383,476.686,50.256,climb,300.0,40.0,121.313,290.27,329.423,6,10,240.0,152.4,0.0,168.957,168.957
S2,continuous,A,4,92,49.99,119.383,476.686,100.204,climb,300.0,40.0,121.313,290.27,329.423,6,10,240.0,152.4,0.0,168.957,168.957
S2,continuous,A,4,92,59.98,119.383,476.686,150.153,climb,300.0,40.0,121.313,290.27,329.423,6,10,240.0,152.4,0.0,168.957,168.957
S2,continuous,A,4,92,69.969,119.383,476.686,200.102,climb,300.0,40.0,121.313,290.27,329.423,6,10,240.0,152.4,0.0,168.957,168.957
S2,continuous,A,4,92,79.959,119.383,476.686,250.051,climb,300.0,40.0,121.313,290.27,329.423,6,10,240.0,152.4,0.0,168.957,168.957
S2,continuous,A,4,92,89.949,119.383,476.686,300.0,climb,300.0,40.0,121.313,290.27,329.423,6,10,240.0,152.4,0.0,168.957,168.957
S2,continuous,A,4,92,89.949,119.383,476.686,300.0,cruise,300.0,40.0,121.313,290.27,329.423,6,10,240.0,152.4,0.0,168.957,168.957
S2,continuous,A,4,92,97.79,495.752,839.455,300.0,cruise,300.0,40.0,121.313,290.27,329.423,6,10,240.0,152.4,0.0,168.957,168.957
S2,continuous,A,4,92,105.631,872.121,1202.223,300.0,cruise,300.0,40.0,121.313,290.27,329.423,6,10,240.0,152.4,0.0,168.957,168.957
