aircraft_id,mission_count
0,6
1,4
2,3
3,8
4,2
5,8
6,4
7,7
8,8
9,7
10,7
11,7
12,4
13,2
14,7
15,5
16,4
17,5
18,6
19,3
20,5
21,6
22,7
23,5
24,5
25,4
26,5
27,7
28,6
29,6
30,5
31,3
32,6
33,4
34,1
35,3
36,6
37,7
38,6
39,7
40,7
41,4
42,4
43,4
44,3
45,6
46,6
47,5
48,4
49,4
50,6
51,6
52,5
53,3
54,4
55,4
56,2
57,6
58,7
59,7
60,5
61,5
62,5
63,7
64,5
65,6
66,4
67,6
68,6
69,7
70,0
71,3
72,5
73,5
74,9
75,5
76,4
77,5
78,7
79,4
80,3
81,8
82,7
83,5
84,7
85,4
86,5
87,5
88,3
89,7
90,5
91,6
92,6
93,4
94,7
95,6
96,7
97,6
98,7
99,6
100,5
101,7
102,6
103,3
104,5
105,9
106,5
107,9
108,4
109,1
110,5
111,5
112,7
113,8
114,5
115,4
116,7
117,3
118,5
119,7
120,6
121,6
122,6
123,5
124,5
125,3
126,7
127,4
128,5
129,7
130,3
131,7
132,4
133,9
134,2
135,9
136,7
137,6
138,6
139,9
140,9
141,3
142,4
143,5
144,4
145,5
146,6
147,6
148,6
149,6
150,7
151,4
152,4
153,7
154,2
155,7
156,5
157,6
158,6
159,2
160,4
161,6
162,6
163,7
164,7
165,3
166,6
167,7
168,4
169,3
170,4
171,4
172,7
173,9
174,6
175,3
176,8
177,7
178,8
179,6
180,3
181,5
182,4
183,7
184,7
185,7
186,2
187,5
188,6
189,6
190,5
191,7
192,7
193,7
194,6
195,5
196,6
197,3
198,6
199,6
