aircraft_id,mission_count
0,5
1,6
2,5
3,5
4,5
5,5
6,4
7,6
8,8
9,4
10,6
11,7
12,6
13,8
14,6
15,5
16,8
17,5
18,4
19,6
20,7
21,6
22,5
23,3
24,4
25,6
26,4
27,5
28,6
29,5
30,5
31,5
32,6
33,5
34,4
35,4
36,6
37,6
38,7
39,5
40,7
41,5
42,3
43,2
44,6
45,6
46,4
47,8
48,6
49,9
50,4
51,6
52,3
53,4
54,5
55,7
56,9
57,7
58,9
59,8
60,6
61,8
62,5
63,6
64,6
65,5
66,6
67,8
68,5
69,5
70,3
71,6
72,7
73,6
74,7
75,4
76,3
77,7
78,5
79,4
80,4
81,7
82,5
83,4
84,6
85,5
86,7
87,3
88,4
89,4
90,6
91,7
92,5
93,10
94,5
95,8
96,3
97,3
98,5
99,5
100,3
101,6
102,4
103,3
104,9
105,6
106,5
107,6
108,3
109,9
110,5
111,6
112,7
113,6
114,3
115,4
116,5
117,7
118,2
119,5
120,5
121,6
122,5
123,5
124,4
125,5
126,8
127,5
128,6
129,5
130,4
131,4
132,6
133,6
134,8
135,9
136,1
137,7
138,7
139,10
140,6
141,4
142,5
143,8
144,6
145,3
146,8
147,4
148,4
149,4
150,6
151,6
152,5
153,8
154,6
155,4
156,7
157,7
158,5
159,7
160,4
161,6
162,5
163,5
164,5
165,4
166,3
167,7
168,3
169,5
170,5
171,6
172,4
173,3
174,6
175,4
176,5
177,4
178,3
179,3
180,7
181,5
182,4
183,3
184,7
185,4
186,8
187,6
188,4
189,5
190,4
191,2
192,8
193,6
194,5
195,3
196,2
197,7
198,7
199,6
