scenario_id,sweep,model,flight_id,aircraft_id,time_s,x,y,z,phase,cruise_altitude,start_time,cruise_arrival_time,descent_start_time,end_time,origin_id,destination_id,speed_kmh,safety_distance_m,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s
S4,continuous,D,0,7,0.0,1958.207,3647.221,244.06,climb,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,7.063,1958.207,3647.221,279.373,climb,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,14.125,1958.207,3647.221,314.687,climb,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,21.188,1958.207,3647.221,350.0,climb,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,21.188,1958.207,3647.221,350.0,cruise,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,28.745,1651.925,3247.174,350.0,cruise,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,36.303,1345.642,2847.127,350.0,cruise,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,36.303,1345.642,2847.127,350.0,descend,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,45.189,1345.642,2847.127,305.568,descend,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,54.076,1345.642,2847.127,261.136,descend,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,62.962,1345.642,2847.127,216.703,descend,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,71.849,1345.642,2847.127,172.271,descend,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,80.735,1345.642,2847.127,127.839,descend,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,89.622,1345.642,2847.127,83.407,descend,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,0,7,98.508,1345.642,2847.127,38.974,descend,350.0,0.0,36.303,36.303,98.508,3,29,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,1,21,10.0,4953.242,4756.369,34.406,climb,350.0,10.0,145.104,145.104,207.827,24,9,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,1,21,19.017,4953.242,4756.369,79.491,climb,350.0,10.0,145.104,145.104,207.827,24,9,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,1,21,28.034,4953.242,4756.369,124.576,climb,350.0,10.0,145.104,145.104,207.827,24,9,240.0,152.4,0.0,0.0,0.0
S4,continuous,D,1,21,37.051,4953.242,4756.369,169.66,climb,350.0,10.0,145.104,145.104,207.827,24,9,240.0,152.4,0.0,0.0,0.0
