scenario_id,sweep,model,vertiport_id,flight_id,aircraft_id,operation,start_s,end_s,duration_s,pad_delay_s
S4,continuous,A,28,0,112,takeoff,0.0,30.0,30.0,0.0
S4,continuous,A,31,0,112,landing,97.5278929675863,287.5278929675863,190.0,0.0
S4,continuous,A,19,1,60,takeoff,10.0,40.0,30.0,0.0
S4,continuous,A,10,1,60,landing,99.72915693703433,289.7291569370343,189.99999999999997,0.0
S4,continuous,A,11,2,7,takeoff,20.0,50.0,30.0,0.0
S4,continuous,A,6,2,7,landing,108.05982941560097,298.059829415601,190.0,0.0
S4,continuous,A,21,3,96,takeoff,30.0,60.0,30.0,0.0
S4,continuous,A,13,3,96,landing,134.83346491708514,324.83346491708517,190.00000000000003,0.0
S4,continuous,A,20,4,36,takeoff,40.0,70.0,30.0,0.0
S4,continuous,A,10,4,36,landing,289.7291569370343,479.7291569370343,190.0,156.16992873782578
S4,continuous,A,4,5,161,takeoff,50.0,80.0,30.0,0.0
S4,continuous,A,11,5,161,landing,157.71476434084482,347.7147643408448,189.99999999999997,0.0
S4,continuous,A,12,6,147,takeoff,60.0,90.0,30.0,0.0
S4,continuous,A,30,6,147,landing,194.64362294050989,384.6436229405099,190.0,0.0
S4,continuous,A,20,7,85,takeoff,70.0,100.0,30.0,0.0
S4,continuous,A,27,7,85,landing,157.6811126568901,347.6811126568901,190.0,0.0
S4,continuous,A,13,8,88,takeoff,80.0,110.0,30.0,0.0
S4,continuous,A,4,8,88,landing,203.19621870235903,393.19621870235903,190.0,0.0
S4,continuous,A,22,9,155,takeoff,90.0,120.0,30.0,0.0
S4,continuous,A,2,9,155,landing,189.96162038770015,379.9616203877001,189.99999999999997,0.0
S4,continuous,A,30,10,27,takeoff,100.0,130.0,30.0,0.0
S4,continuous,A,13,10,27,landing,324.83346491708517,514.8334649170852,190.0,136.0743879103062
S4,continuous,A,12,11,79,takeoff,110.0,140.0,30.0,0.0
S4,continuous,A,13,11,79,landing,514.8334649170852,704.8334649170852,190.0,266.66052432828303
