scenario_id,sweep,model,vertiport_id,flight_id,aircraft_id,operation,start_s,end_s,duration_s,pad_delay_s
S4,continuous,C,11,0,55,takeoff,0.0,30.0,30.0,0.0
S4,continuous,C,19,0,55,landing,109.00596413128551,299.0059641312855,190.0,0.0
S4,continuous,C,22,1,45,takeoff,10.0,40.0,30.0,0.0
S4,continuous,C,1,1,45,landing,162.16494691290347,352.1649469129035,190.0,0.0
S4,continuous,C,24,2,129,takeoff,20.0,50.0,30.0,0.0
S4,continuous,C,4,2,129,landing,82.03639178523541,272.0363917852354,190.0,0.0
S4,continuous,C,2,3,25,takeoff,30.0,60.0,30.0,0.0
S4,continuous,C,6,3,25,landing,102.53235424102836,292.5323542410284,190.0,0.0
S4,continuous,C,17,4,107,takeoff,40.0,70.0,30.0,0.0
S4,continuous,C,30,4,107,landing,108.24735783429026,298.24735783429026,190.0,0.0
S4,continuous,C,8,5,109,takeoff,50.0,80.0,30.0,0.0
S4,continuous,C,14,5,109,landing,96.7195584254476,286.7195584254476,190.0,0.0
S4,continuous,C,0,6,51,takeoff,60.0,90.0,30.0,0.0
S4,continuous,C,13,6,51,landing,158.02922709617349,348.0292270961735,190.0,0.0
S4,continuous,C,27,7,145,takeoff,70.0,100.0,30.0,0.0
S4,continuous,C,26,7,145,landing,129.16056732690345,319.16056732690345,190.0,0.0
S4,continuous,C,9,8,46,takeoff,80.0,110.0,30.0,0.0
S4,continuous,C,27,8,46,landing,141.28424824280944,331.28424824280944,190.0,0.0
S4,continuous,C,27,9,159,takeoff,100.0,130.0,30.0,10.0
S4,continuous,C,13,9,159,landing,348.0292270961735,538.0292270961735,190.0,175.59180336689369
S4,continuous,C,24,10,19,takeoff,100.0,130.0,30.0,0.0
S4,continuous,C,29,10,19,landing,192.26604394960944,382.2660439496094,189.99999999999997,0.0
S4,continuous,C,12,11,165,takeoff,110.0,140.0,30.0,0.0
S4,continuous,C,14,11,165,landing,286.7195584254476,476.7195584254476,190.0,103.94214803685344
S4,continuous,C,31,12,26,takeoff,120.0,150.0,30.0,0.0
S4,continuous,C,2,12,26,landing,192.5908221999677,382.5908221999677,190.0,0.0
S4,continuous,C,26,13,106,takeoff,319.16056732690345,349.16056732690345,30.0,189.16056732690345
S4,continuous,C,13,13,106,landing,538.0292270961735,728.0292270961735,190.0,151.8078559646694
S4,continuous,C,15,14,77,takeoff,140.0,170.0,30.0,0.0
S4,continuous,C,1,14,77,landing,352.1649469129035,542.1649469129035,190.0,113.1983918750804
S4,continuous,C,16,15,168,takeoff,150.0,180.0,30.0,0.0
S4,continuous,C,28,15,168,landing,198.87647851555712,388.8764785155571,189.99999999999997,0.0
S4,continuous,C,15,16,148,takeoff,170.0,200.0,30.0,10.0
S4,continuous,C,14,16,148,landing,476.7195584254476,666.7195584254475,189.99999999999994,212.5827437433669
S4,continuous,C,25,17,61,takeoff,170.0,200.0,30.0,0.0
S4,continuous,C,15,17,61,landing,268.5776754588142,458.5776754588142,190.0,0.0
S4,continuous,C,1,18,69,takeoff,542.1649469129035,572.1649469129035,30.0,362.1649469129035
S4,continuous,C,22,18,69,landing,694.3298938258068,884.3298938258068,190.0,0.0
S4,continuous,C,24,19,73,takeoff,190.0,220.0,30.0,0.0
S4,continuous,C,28,19,73,landing,388.8764785155571,578.8764785155571,190.0,154.50453423537672
S4,continuous,C,18,20,133,takeoff,200.0,230.0,30.0,0.0
S4,continuous,C,1,20,133,landing,572.1649469129035,762.1649469129035,190.0,234.81449860826388
S4,continuous,C,11,21,10,takeoff,210.0,240.0,30.0,0.0
S4,continuous,C,30,21,10,landing,298.24735783429026,488.24735783429026,190.0,5.6055119626489045
S4,continuous,C,11,22,143,takeoff,240.0,270.0,30.0,20.0
S4,continuous,C,10,22,143,landing,361.6981171928961,551.6981171928961,190.0,0.0
S4,continuous,C,26,23,138,takeoff,349.16056732690345,379.16056732690345,30.0,119.16056732690345
S4,continuous,C,30,23,138,landing,488.24735783429026,678.2473578342903,190.0,115.4197115542903
S4,continuous,C,29,24,40,takeoff,382.2660439496094,412.2660439496094,30.0,142.2660439496094
S4,continuous,C,4,24,40,landing,448.4851498334167,638.4851498334167,190.0,0.0
S4,continuous,C,14,25,157,takeoff,666.7195584254475,696.7195584254475,30.0,416.71955842544753
S4,continuous,C,20,25,157,landing,731.5000389436814,921.5000389436814,190.0,0.0
S4,continuous,C,22,26,144,takeoff,260.0,290.0,30.0,0.0
S4,continuous,C,3,26,144,landing,421.2015617861556,611.2015617861556,190.0,0.0
S4,continuous,C,26,27,47,takeoff,379.16056732690345,409.16056732690345,30.0,109.16056732690345
S4,continuous,C,30,27,47,landing,678.2473578342903,868.2473578342903,190.0,263.2368936894115
S4,continuous,C,1,28,126,takeoff,762.1649469129035,792.1649469129035,30.0,482.1649469129035
S4,continuous,C,14,28,126,landing,831.7669269518709,1021.7669269518709,190.0,0.0
S4,continuous,C,17,29,115,takeoff,290.0,320.0,30.0,0.0
S4,continuous,C,16,29,115,landing,349.4340215665631,539.4340215665632,190.00000000000006,0.0
S4,continuous,C,28,30,64,takeoff,578.8764785155571,608.8764785155571,30.0,278.8764785155571
S4,continuous,C,12,30,64,landing,652.8643586175563,842.8643586175563,190.0,0.0
S4,continuous,C,3,31,190,takeoff,310.0,340.0,30.0,0.0
S4,continuous,C,10,31,190,landing,551.6981171928961,741.6981171928961,190.0,100.84179835330679
S4,continuous,C,22,32,113,takeoff,320.0,350.0,30.0,0.0
S4,continuous,C,15,32,113,landing,466.8792313110672,656.8792313110672,190.0,0.0
S4,continuous,C,3,33,16,takeoff,340.0,370.0,30.0,10.0
S4,continuous,C,11,33,16,landing,504.58794435971737,694.5879443597173,189.99999999999994,0.0
S4,continuous,C,28,34,150,takeoff,608.8764785155571,638.8764785155571,30.0,268.8764785155571
S4,continuous,C,15,34,150,landing,696.8037416740482,886.8037416740482,190.0,0.0
S4,continuous,C,25,35,43,takeoff,350.0,380.0,30.0,0.0
S4,continuous,C,24,35,43,landing,412.03739373814244,602.0373937381424,190.0,0.0
S4,continuous,C,5,36,168,takeoff,360.0,390.0,30.0,0.0
S4,continuous,C,3,36,168,landing,611.2015617861556,801.2015617861556,190.0,123.24617399322085
S4,continuous,C,2,37,147,takeoff,382.5908221999677,412.5908221999677,30.0,12.590822199967704
S4,continuous,C,20,37,147,landing,489.93648552797254,679.9364855279725,190.0,0.0
S4,continuous,C,22,38,1,takeoff,380.0,410.0,30.0,0.0
S4,continuous,C,6,38,1,landing,542.5999325176407,732.5999325176407,190.0,0.0
S4,continuous,C,27,39,72,takeoff,390.0,420.0,30.0,0.0
S4,continuous,C,2,39,72,landing,453.2656151910691,643.2656151910692,190.00000000000006,0.0
S4,continuous,C,27,40,60,takeoff,420.0,450.0,30.0,20.0
S4,continuous,C,1,40,60,landing,792.1649469129035,982.1649469129035,190.0,261.5789607893545
S4,continuous,C,28,41,11,takeoff,638.8764785155571,668.8764785155571,30.0,228.8764785155571
