aircraft_id,mission_count
0,3
1,5
2,1
3,3
4,2
5,4
6,5
7,4
8,3
9,4
10,3
11,4
12,3
13,4
14,2
15,4
16,1
17,5
18,5
19,3
20,0
21,2
22,4
23,6
24,2
25,4
26,2
27,6
28,2
29,4
30,2
31,3
32,3
33,3
34,3
35,2
36,3
37,0
38,5
39,5
40,3
41,3
42,4
43,2
44,4
45,3
46,3
47,5
48,1
49,1
50,4
51,1
52,2
53,2
54,6
55,6
56,2
57,2
58,4
59,7
60,5
61,5
62,6
63,4
64,3
65,6
66,5
67,3
68,1
69,2
70,2
71,4
72,6
73,3
74,4
75,3
76,1
77,5
78,1
79,4
80,4
81,1
82,5
83,3
84,4
85,5
86,4
87,4
88,2
89,2
90,3
91,4
92,5
93,3
94,3
95,4
96,5
97,4
98,6
99,3
100,6
101,5
102,1
103,3
104,1
105,2
106,1
107,4
108,8
109,2
110,2
111,3
112,5
113,3
114,4
115,2
116,3
117,3
118,6
119,4
120,3
121,4
122,3
123,4
124,6
125,3
126,6
127,1
128,3
129,5
130,5
131,4
132,5
133,2
134,3
135,4
136,5
137,2
138,3
139,6
140,3
141,5
142,5
143,5
144,0
145,5
146,3
147,5
148,5
149,4
150,3
151,4
152,6
153,3
154,2
155,2
156,3
157,3
158,2
159,2
160,4
161,5
162,3
163,5
164,3
165,4
166,3
167,7
168,2
169,5
170,3
171,2
172,3
173,6
174,6
175,5
176,3
177,2
178,5
179,4
180,4
181,3
182,5
183,2
184,5
185,6
186,5
187,1
188,6
189,3
190,3
191,3
192,2
193,2
194,4
195,5
196,6
197,2
198,4
199,1
200,6
201,5
202,1
203,1
204,3
205,7
206,0
207,4
208,3
209,5
210,4
211,3
212,1
213,3
214,4
215,2
216,4
217,3
218,4
219,6
220,4
221,5
222,2
223,4
224,4
225,3
226,6
227,2
228,5
229,2
230,3
231,2
232,3
233,3
234,4
235,4
236,1
237,3
238,3
239,2
240,2
241,6
242,7
243,3
244,1
245,1
246,4
247,3
248,2
249,2
250,4
251,4
252,7
253,4
254,6
255,6
256,1
257,2
258,3
259,3
260,4
261,3
262,5
263,5
264,4
265,6
266,2
267,7
268,1
269,3
270,7
271,2
272,4
273,6
274,6
275,5
276,1
277,0
278,4
279,5
280,6
281,5
282,5
283,4
284,7
285,6
286,2
287,4
288,3
289,5
290,6
291,3
292,5
293,4
294,3
295,3
296,3
297,4
298,3
299,6
