scenario_id,sweep,model,vertiport_id,flight_id,aircraft_id,operation,start_s,end_s,duration_s,pad_delay_s
S5,continuous,D,19,0,49,takeoff,0.0,30.0,30.0,0.0
S5,continuous,D,20,0,49,landing,14.279212824912253,204.27921282491226,190.0,0.0
S5,continuous,D,14,1,253,takeoff,10.0,40.0,30.0,0.0
S5,continuous,D,6,1,253,landing,156.87784774152652,346.8778477415265,190.0,0.0
S5,continuous,D,35,2,18,takeoff,20.0,50.0,30.0,0.0
S5,continuous,D,19,2,18,landing,91.77577019300162,281.7757701930016,190.0,0.0
S5,continuous,D,28,3,51,takeoff,30.0,60.0,30.0,0.0
S5,continuous,D,27,3,51,landing,196.5285370345905,386.5285370345905,190.0,0.0
S5,continuous,D,25,4,235,takeoff,40.0,70.0,30.0,0.0
S5,continuous,D,30,4,235,landing,187.791507443375,377.791507443375,190.0,0.0
S5,continuous,D,25,5,47,takeoff,70.0,100.0,30.0,20.0
S5,continuous,D,4,5,47,landing,192.15716679381137,382.15716679381137,190.0,0.0
S5,continuous,D,6,6,221,takeoff,60.0,90.0,30.0,0.0
S5,continuous,D,17,6,221,landing,206.23120114284905,396.23120114284905,190.0,0.0
S5,continuous,D,37,7,111,takeoff,70.0,100.0,30.0,0.0
S5,continuous,D,23,7,111,landing,217.43973487581428,407.4397348758143,190.0,0.0
S5,continuous,D,17,8,137,takeoff,80.0,110.0,30.0,0.0
S5,continuous,D,22,8,137,landing,186.12593520112077,376.1259352011208,190.00000000000003,0.0
S5,continuous,D,37,9,199,takeoff,150.0,180.0,30.0,0.0
S5,continuous,D,4,9,199,landing,382.15716679381137,572.1571667938114,190.0,118.65669704064078
S5,continuous,D,5,10,78,takeoff,100.0,130.0,30.0,0.0
S5,continuous,D,4,10,78,landing,572.1571667938114,762.1571667938114,190.0,359.16295485799424
S5,continuous,D,4,11,81,takeoff,110.0,140.0,30.0,0.0
S5,continuous,D,28,11,81,landing,190.23692288487706,380.23692288487706,190.0,0.0
S5,continuous,D,8,12,88,takeoff,120.0,150.0,30.0,0.0
S5,continuous,D,32,12,88,landing,258.4421181448271,448.4421181448271,190.0,0.0
S5,continuous,D,14,13,119,takeoff,130.0,160.0,30.0,0.0
S5,continuous,D,39,13,119,landing,274.3220468859179,464.3220468859179,190.0,0.0
S5,continuous,D,13,14,208,takeoff,140.0,170.0,30.0,0.0
S5,continuous,D,1,14,208,landing,329.986402123248,519.986402123248,190.0,0.0
S5,continuous,D,37,15,246,takeoff,180.0,210.0,30.0,30.0
S5,continuous,D,19,15,246,landing,281.7757701930016,471.7757701930016,190.0,16.25439031163279
S5,continuous,D,23,16,89,takeoff,407.4397348758143,437.4397348758143,30.0,187.43973487581428
S5,continuous,D,29,16,89,landing,457.3624065986067,647.3624065986066,189.99999999999994,0.0
S5,continuous,D,5,17,120,takeoff,170.0,200.0,30.0,0.0
S5,continuous,D,7,17,120,landing,286.18893842498795,476.18893842498795,190.0,0.0
S5,continuous,D,13,18,171,takeoff,180.0,210.0,30.0,0.0
S5,continuous,D,35,18,171,landing,318.1412334601301,508.1412334601301,190.0,0.0
S5,continuous,D,19,19,27,takeoff,471.7757701930016,501.7757701930016,30.0,281.7757701930016
S5,continuous,D,1,19,27,landing,591.5561542252821,781.5561542252821,190.0,0.0
S5,continuous,D,1,20,156,takeoff,200.0,230.0,30.0,0.0
S5,continuous,D,17,20,156,landing,396.23120114284905,586.231201142849,190.0,11.249646057655355
S5,continuous,D,32,21,46,takeoff,448.4421181448271,478.4421181448271,30.0,178.44211814482708
S5,continuous,D,22,21,46,landing,537.3249836934585,727.3249836934585,190.0,0.0
S5,continuous,D,8,22,106,takeoff,220.0,250.0,30.0,0.0
S5,continuous,D,33,22,106,landing,304.34949469638616,494.34949469638616,190.0,0.0
S5,continuous,D,12,23,36,takeoff,230.0,260.0,30.0,0.0
S5,continuous,D,28,23,36,landing,391.6160834586301,581.6160834586301,190.0,0.0
S5,continuous,D,26,24,209,takeoff,240.0,270.0,30.0,0.0
S5,continuous,D,21,24,209,landing,334.24226625665096,524.242266256651,190.0,0.0
S5,continuous,D,10,25,105,takeoff,250.0,280.0,30.0,0.0
