scenario_id,sweep,model,flight_id,aircraft_id,time_s,x,y,z,phase,cruise_altitude,start_time,cruise_arrival_time,descent_start_time,end_time,origin_id,destination_id,speed_kmh,safety_distance_m,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s
S5,continuous,C,0,171,0.0,1560.344,2442.495,122.124,climb,300.0,0.0,103.974,103.974,131.734,15,31,240.0,152.4,0.0,0.0,0.0
S5,continuous,C,0,171,8.894,1560.344,2442.495,166.593,climb,300.0,0.0,103.974,103.974,131.734,15,31,240.0,152.4,0.0,0.0,0.0
S5,continuous,C,0,171,17.788,1560.344,2442.495,211.062,climb,300.0,0.0,103.974,103.974,131.734,15,31,240.0,152.4,0.0,0.0,0.0
S5,continuous,C,0,171,26.681,1560.344,2442.495,255.531,climb,300.0,0.0,103.974,103.974,131.734,15,31,240.0,152.4,0.0,0.0,0.0
S5,continuous,C,0,171,35.575,1560.344,2442.495,300.0,climb,300.0,0.0,103.974,103.974,131.734,15,31,240.0,152.4,0.0,0.0,0.0
S5,continuous,C,0,171,35.575,1560.344,2442.495,300.0,cruise,300.0,0.0,103.974,103.974,131.734,15,31,240.0,152.4,0.0,0.0,0.0
S5,continuous,C,0,171,45.346,2074.447,2842.556,300.0,cruise,300.0,0.0,103.974,103.974,131.734,15,31,240.0,152.4,0.0,0.0,0.0
S5,continuous,C,0,171,55.118,2588.549,3242.616,300.0,cruise,300.0,0.0,103.974,103.974,131.734,15,31,240.0,152.4,0.0,0.0,0.0
S5,continuous,C,0,171,64.889,3102.652,3642.676,300.0,cruise,300.0,0.0,103.974,103.974,131.734,15,31,240.0,152.4,0.0,0.0,0.0
S5,continuous,C,0,171,74.66,3616.754,4042.736,300.0,cruise,300.0,0.0,103.974,103.974,131.734,15,31,240.0,152.4,0.0,0.0,0.0
S5,continuous,C,0,171,84.432,4130.857,4442.796,300.0,cruise,300.0,0.0,103.974,103.974,131.734,15,31,240.0,152.4,0.0,0.0,0.0
