scenario_name,wallclock_model,run_count,generated_missions_total,completed_within_duration_total,completed_after_duration_total,building_collision_count_total,aircraft_collision_count_total,collision_risk_count_total,avg_pad_delay_s_mean,max_pad_delay_s_max,avg_flight_time_s_mean,avg_delay_s_mean,success_flights_total,failed_flights_total,completion_rate,collision_risk_per_1000_missions,building_risk_per_1000_missions,aircraft_risk_per_1000_missions
S1,A,10,10800,3562,7238,10624,82185,92809,2110.0232208675516,5040.471105548113,944.685748601671,1231.2234062798736,129,10671,0.32981481481481484,8593.425925925925,983.7037037037037,7609.722222222223
S1,B,10,10800,3556,7244,0,70270,70270,2103.6702477480985,6007.747648923709,967.8393559853754,1216.9549739862055,313,10487,0.32925925925925925,6506.481481481482,0.0,6506.481481481482
S1,C,10,10800,3509,7291,4100,22088,26188,2053.6614158136135,4774.148734198949,890.2499501320748,1310.918742829906,1440,9360,0.3249074074074074,2424.814814814815,379.6296296296297,2045.185185185185
S1,D,10,10800,3506,7294,162,22325,22487,2041.0447993727198,4593.131636038954,873.3343718151258,1315.3534209806185,2450,8350,0.32462962962962966,2082.1296296296296,15.0,2067.1296296296296
S2,A,7,7560,3699,3861,11823,49716,61539,1819.1089240359922,4947.158044209891,830.0120916599907,1062.0458563603293,113,7447,0.48928571428571427,8140.079365079366,1563.888888888889,6576.190476190476
S2,B,7,7560,3649,3911,0,39569,39569,1826.1278956274916,4518.707252379725,830.7189674192432,1076.6152819703832,317,7243,0.4826719576719577,5233.994708994709,0.0,5233.994708994709
S2,C,7,7560,3618,3942,4183,13387,17570,1794.2490774500068,5436.124985343022,792.8431240718625,1138.2492638536244,1061,6499,0.4785714285714286,2324.074074074074,553.3068783068783,1770.7671957671957
S2,D,7,7560,3623,3937,206,13534,13740,1781.4192380511554,4911.17041701022,808.0998489001514,1128.7121672906221,1894,5666,0.47923280423280423,1817.4603174603174,27.248677248677247,1790.21164021164
S3,A,7,7560,5873,1687,11118,37436,48554,1399.1853483522302,4850.564254083061,663.5620415936536,814.367094198172,167,7393,0.7768518518518519,6422.486772486773,1470.6349206349207,4951.851851851851
S3,B,7,7560,5871,1689,0,29731,29731,1397.4507465919226,4525.914340432515,667.2817679637544,820.2908041188592,493,7067,0.7765873015873016,3932.671957671958,0.0,3932.671957671958
S3,C,7,7560,5726,1834,4233,9544,13777,1406.1989117926132,4948.030344088062,658.7791512089668,892.6126525819531,1381,6179,0.7574074074074074,1822.3544973544974,559.9206349206349,1262.4338624338625
S3,D,7,7560,5753,1807,197,10354,10551,1394.9067404184168,4906.780646996638,655.299687259999,893.7347250093309,2443,5117,0.760978835978836,1395.6349206349205,26.058201058201057,1369.5767195767196
S4,A,14,15120,14284,836,15952,19473,35425,438.7809475111148,2540.765388947577,291.8259469277308,239.14619985234782,1592,13528,0.9447089947089947,2342.9232804232806,1055.0264550264549,1287.8968253968255
S4,B,14,15120,14282,838,0,15730,15730,433.66920388139266,2288.8288605169764,306.440772011222,234.44120479001063,4401,10719,0.9445767195767196,1040.3439153439153,0.0,1040.3439153439153
S4,C,14,15120,14228,892,8790,3869,12659,425.60589258756846,2281.178923414467,284.3744420305476,274.9625669480205,6007,9113,0.941005291005291,837.2354497354497,581.3492063492064,255.8862433862434
S4,D,14,15120,14151,969,99,4514,4613,443.1898912551533,2104.800408565303,301.8079523048296,291.8117622777971,9035,6085,0.9359126984126984,305.0925925925926,6.5476190476190474,298.5449735449736
S5,A,11,11880,11473,407,18367,8251,26618,256.82307385747504,1458.3628774075587,219.50808111149934,138.92921297597775,1313,10567,0.9657407407407408,2240.5723905723908,1546.0437710437711,694.5286195286195
S5,B,11,11880,11445,435,0,7123,7123,266.8361808283124,1365.7252571720655,238.6488381475122,143.46928117738918,5226,6654,0.9633838383838383,599.5791245791246,0.0,599.5791245791246
S5,C,11,11880,11425,455,11329,1781,13110,256.7758692236341,1471.5776037521318,220.7997295756776,159.0104223352394,4447,7433,0.9617003367003367,1103.5353535353536,953.6195286195286,149.9158249158249
S5,D,11,11880,11417,463,54,2041,2095,255.2942798316483,1326.2628975184743,230.89508790084747,164.7608747381288,8533,3347,0.961026936026936,176.34680134680133,4.545454545454545,171.8013468013468
