aircraft_id,mission_count
0,10
1,7
2,11
3,11
4,8
5,12
6,8
7,7
8,13
9,7
10,15
11,14
12,11
13,13
14,9
15,8
16,19
17,10
18,9
19,10
20,14
21,8
22,11
23,11
24,12
25,12
26,9
27,9
28,12
29,13
30,10
31,8
32,13
33,11
34,7
35,15
36,14
37,10
38,6
39,14
40,9
41,14
42,12
43,10
44,10
45,12
46,7
47,13
48,6
49,10
50,9
51,18
52,13
53,17
54,16
55,13
56,9
57,11
58,11
59,9
60,12
61,13
62,10
63,9
64,10
65,9
66,15
67,11
68,8
69,11
70,14
71,8
72,12
73,10
74,12
75,16
76,14
77,12
78,9
79,9
80,10
81,13
82,7
83,9
84,5
85,7
86,7
87,4
88,11
89,10
90,16
91,13
92,12
93,10
94,17
95,7
96,9
97,11
98,9
99,9
