scenario_id,sweep,model,flight_id,aircraft_id,time_s,x,y,z,phase,cruise_altitude,start_time,cruise_arrival_time,descent_start_time,end_time,origin_id,destination_id,speed_kmh,safety_distance_m,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s
S6,continuous,A,0,126,0.0,5243.881,1041.729,157.565,climb,300.0,0.0,57.646,57.646,75.282,37,1,240.0,152.4,0.0,0.0,0.0
S6,continuous,A,0,126,9.496,5243.881,1041.729,205.043,climb,300.0,0.0,57.646,57.646,75.282,37,1,240.0,152.4,0.0,0.0,0.0
S6,continuous,A,0,126,18.991,5243.881,1041.729,252.522,climb,300.0,0.0,57.646,57.646,75.282,37,1,240.0,152.4,0.0,0.0,0.0
S6,continuous,A,0,126,28.487,5243.881,1041.729,300.0,climb,300.0,0.0,57.646,57.646,75.282,37,1,240.0,152.4,0.0,0.0,0.0
S6,continuous,A,0,126,28.487,5243.881,1041.729,300.0,cruise,300.0,0.0,57.646,57.646,75.282,37,1,240.0,152.4,0.0,0.0,0.0
S6,continuous,A,0,126,38.207,4713.866,1414.511,300.0,cruise,300.0,0.0,57.646,57.646,75.282,37,1,240.0,152.4,0.0,0.0,0.0
S6,continuous,A,0,126,47.927,4183.851,1787.293,300.0,cruise,300.0,0.0,57.646,57.646,75.282,37,1,240.0,152.4,0.0,0.0,0.0
S6,continuous,A,0,126,57.646,3653.836,2160.075,300.0,cruise,300.0,0.0,57.646,57.646,75.282,37,1,240.0,152.4,0.0,0.0,0.0
S6,continuous,A,0,126,57.646,3653.836,2160.075,300.0,descend,300.0,0.0,57.646,57.646,75.282,37,1,240.0,152.4,0.0,0.0,0.0
S6,continuous,A,0,126,66.464,3653.836,2160.075,255.911,descend,300.0,0.0,57.646,57.646,75.282,37,1,240.0,152.4,0.0,0.0,0.0
S6,continuous,A,0,126,75.282,3653.836,2160.075,211.821,descend,300.0,0.0,57.646,57.646,75.282,37,1,240.0,152.4,0.0,0.0,0.0
S6,continuous,A,1,34,10.0,1051.717,3150.57,252.286,climb,300.0,10.0,49.626,49.626,60.534,23,20,240.0,152.4,0.0,0.0,0.0
