wallclock_model,block_index,cumulative_runs,block_size,generated_missions,completed_within_duration,collision_risk_count,risk_per_1000_missions,completion_rate_pct,avg_pad_delay_s
A,1,1000,1000,1080000,1072125,1934725,1791.412037037037,99.27083333333333,0.0
A,2,2000,1000,1080000,1072101,1937104,1793.6148148148147,99.26861111111111,0.0
A,3,3000,1000,1080000,1072056,1924265,1781.726851851852,99.26444444444445,0.0
A,4,4000,1000,1080000,1072050,1919117,1776.9601851851853,99.26388888888889,0.0
A,5,5000,1000,1080000,1072023,1932978,1789.7944444444445,99.26138888888889,0.0
A,6,6000,1000,1080000,1072071,1931743,1788.650925925926,99.26583333333333,0.0
A,7,7000,1000,1080000,1072040,1927691,1784.899074074074,99.26296296296296,0.0
A,8,8000,1000,1080000,1072054,1937415,1793.9027777777778,99.26425925925926,0.0
A,9,9000,1000,1080000,1072080,1923843,1781.336111111111,99.26666666666667,0.0
A,10,10000,1000,1080000,1072042,1926324,1783.6333333333334,99.26314814814815,0.0
A,11,11000,1000,1080000,1071932,1919179,1777.0175925925926,99.25296296296297,0.0
A,12,12000,1000,1080000,1072060,1903060,1762.0925925925926,99.26481481481481,0.0
A,13,13000,1000,1080000,1071997,1915585,1773.6898148148148,99.25898148148148,0.0
A,14,14000,1000,1080000,1072113,1898433,1757.8083333333334,99.26972222222223,0.0
A,15,15000,1000,1080000,1072359,1859184,1721.4666666666667,99.29249999999999,0.0
A,16,16000,1000,1080000,1072051,1814112,1679.7333333333333,99.26398148148148,0.0
A,17,17000,1000,1080000,1071826,1750735,1621.050925925926,99.24314814814815,0.0
A,18,18000,1000,1080000,1072213,1634052,1513.0111111111112,99.27898148148148,0.0
B,1,1000,1000,1080000,1070694,531903,492.5027777777778,99.13833333333332,0.0
B,2,2000,1000,1080000,1070768,530449,491.1564814814815,99.14518518518518,0.0
B,3,3000,1000,1080000,1070740,530084,490.81851851851854,99.14259259259259,0.0
B,4,4000,1000,1080000,1070764,527814,488.7166666666667,99.14481481481482,0.0
B,5,5000,1000,1080000,1070871,525614,486.67962962962963,99.15472222222222,0.0
B,6,6000,1000,1080000,1070753,531503,492.1324074074074,99.14379629629629,0.0
B,7,7000,1000,1080000,1070747,532770,493.30555555555554,99.14324074074075,0.0
B,8,8000,1000,1080000,1070754,530847,491.525,99.14388888888888,0.0
B,9,9000,1000,1080000,1070768,529560,490.33333333333337,99.14518518518518,0.0
B,10,10000,1000,1080000,1070757,533049,493.5638888888889,99.14416666666666,0.0
B,11,11000,1000,1080000,1070770,528233,489.10462962962964,99.14537037037037,0.0
B,12,12000,1000,1080000,1070747,528913,489.73425925925926,99.14324074074075,0.0
B,13,13000,1000,1080000,1070828,522159,483.48055555555555,99.15074074074074,0.0
B,14,14000,1000,1080000,1070813,547960,507.3703703703704,99.14935185185185,0.0
B,15,15000,1000,1080000,1071203,585188,541.8407407407408,99.18546296296297,0.0
B,16,16000,1000,1080000,1070847,572729,530.3046296296296,99.1525,0.0
B,17,17000,1000,1080000,1070689,563094,521.3833333333333,99.13787037037038,0.0
B,18,18000,1000,1080000,1070979,589864,546.1703703703704,99.16472222222222,0.0
C,1,1000,1000,1080000,1067776,1521493,1408.7898148148147,98.86814814814815,0.0
C,2,2000,1000,1080000,1068006,1516783,1404.4287037037038,98.88944444444444,0.0
C,3,3000,1000,1080000,1068214,1523861,1410.9824074074074,98.90870370370371,0.0
C,4,4000,1000,1080000,1067989,1544815,1430.3842592592594,98.88787037037036,0.0
C,5,5000,1000,1080000,1067917,1519833,1407.2527777777777,98.8812037037037,0.0
C,6,6000,1000,1080000,1067970,1542782,1428.5018518518518,98.8861111111111,0.0
C,7,7000,1000,1080000,1068034,1537526,1423.6351851851853,98.89203703703704,0.0
C,8,8000,1000,1080000,1068034,1525031,1412.0657407407407,98.89203703703704,0.0
C,9,9000,1000,1080000,1068118,1536739,1422.9064814814815,98.89981481481482,0.0
C,10,10000,1000,1080000,1068002,1513597,1401.4787037037038,98.88907407407407,0.0
C,11,11000,1000,1080000,1068027,1532792,1419.2518518518518,98.89138888888888,0.0
C,12,12000,1000,1080000,1067884,1515954,1403.661111111111,98.87814814814814,0.0
C,13,13000,1000,1080000,1068019,1531130,1417.712962962963,98.89064814814816,0.0
C,14,14000,1000,1080000,1067927,1515550,1403.287037037037,98.88212962962963,0.0
C,15,15000,1000,1080000,1067742,1433752,1327.5481481481481,98.86500000000001,0.0
C,16,16000,1000,1080000,1067201,1405158,1301.072222222222,98.8149074074074,0.0
C,17,17000,1000,1080000,1067006,1361508,1260.6555555555556,98.79685185185186,0.0
C,18,18000,1000,1080000,1066989,1248292,1155.825925925926,98.79527777777778,0.0
D,1,1000,1000,1080000,1066229,343856,318.38518518518515,98.7249074074074,0.0
D,2,2000,1000,1080000,1066184,344379,318.8694444444444,98.72074074074074,0.0
D,3,3000,1000,1080000,1066327,338168,313.1185185185185,98.73398148148148,0.0
D,4,4000,1000,1080000,1066211,340615,315.3842592592593,98.72324074074074,0.0
D,5,5000,1000,1080000,1066088,343439,317.9990740740741,98.71185185185185,0.0
D,6,6000,1000,1080000,1066176,346039,320.4064814814815,98.72,0.0
D,7,7000,1000,1080000,1066462,340485,315.2638888888889,98.74648148148148,0.0
D,8,8000,1000,1080000,1066313,338492,313.41851851851857,98.73268518518519,0.0
D,9,9000,1000,1080000,1066208,340056,314.8666666666667,98.72296296296297,0.0
D,10,10000,1000,1080000,1066176,344710,319.1759259259259,98.72,0.0
D,11,11000,1000,1080000,1066198,345709,320.10092592592594,98.72203703703704,0.0
D,12,12000,1000,1080000,1066264,340504,315.2814814814815,98.72814814814814,0.0
D,13,13000,1000,1080000,1066088,350616,324.64444444444445,98.71185185185185,0.0
D,14,14000,1000,1080000,1066105,350680,324.7037037037037,98.71342592592592,0.0
D,15,15000,1000,1080000,1065913,380135,351.97685185185185,98.69564814814815,0.0
D,16,16000,1000,1080000,1065543,377400,349.44444444444446,98.6613888888889,0.0
D,17,17000,1000,1080000,1065172,374640,346.8888888888889,98.62703703703704,0.0
D,18,18000,1000,1080000,1065300,393215,364.087962962963,98.63888888888889,0.0
E,1,1000,1000,1080000,795139,1088356,1007.7370370370371,73.62398148148148,1035.6890322732863
E,2,2000,1000,1080000,795505,1073561,994.037962962963,73.65787037037038,1033.1368244495188
E,3,3000,1000,1080000,796623,1080757,1000.7009259259258,73.76138888888889,1031.574428892254
E,4,4000,1000,1080000,795551,1070847,991.525,73.66212962962962,1033.7734819176997
E,5,5000,1000,1080000,795505,1076634,996.8833333333333,73.65787037037038,1034.3151589845234
E,6,6000,1000,1080000,796237,1094322,1013.2611111111112,73.72564814814815,1032.7777931672508
E,7,7000,1000,1080000,794915,1089327,1008.6361111111111,73.60324074074074,1036.7194200882834
E,8,8000,1000,1080000,795553,1072087,992.6731481481481,73.6623148148148,1033.0003560297523
E,9,9000,1000,1080000,796007,1092630,1011.6944444444445,73.70435185185185,1031.9601131196102
E,10,10000,1000,1080000,795112,1084765,1004.4120370370371,73.62148148148148,1035.136690852119
E,11,11000,1000,1080000,794917,1086662,1006.1685185185186,73.60342592592592,1034.2608536965076
E,12,12000,1000,1080000,796309,1078176,998.3111111111111,73.73231481481481,1032.6162235335178
E,13,13000,1000,1080000,795289,1092074,1011.1796296296296,73.63787037037038,1034.4949726201705
E,14,14000,1000,1080000,785244,1100163,1018.6694444444444,72.70777777777778,1067.552113950312
E,15,15000,1000,1080000,746589,1270025,1175.9490740740741,69.12861111111111,1190.3078719531736
E,16,16000,1000,1080000,772431,1105297,1023.4231481481481,71.5213888888889,1042.5586207419228
E,17,17000,1000,1080000,796730,970855,898.9398148148148,73.7712962962963,931.6886282941695
E,18,18000,1000,1080000,781982,1035639,958.9250000000001,72.40574074074074,1006.3196809788893
