scenario_name,wallclock_model,run_count,generated_missions,completed_within_duration,building_collision_count,aircraft_collision_count,collision_risk_count,avg_pad_delay_s,avg_flight_time_s,pad_wait_flight_count,risk_per_1000_missions,completion_rate_pct
S1,A,3505,3785400,3764162,3773302,3606690,7379992,0.0,65.52858591995799,0,1949.5937021186664,99.43894964865008
S1,B,3505,3785400,3760299,0,3961633,3961633,0.0,76.60501484138989,0,1046.5559782321552,99.33689966714218
S1,C,3505,3785400,3722108,2360521,2481164,4841685,0.0,86.03968290057375,0,1279.0418449833571,98.3279970412638
S1,D,3505,3785400,3713656,16604,2752462,2769066,0.0,96.94007711417225,0,731.5121255349501,98.10471812754267
S1,E,3505,3785400,1229918,68894,8284184,8353078,2054.1630836585355,895.1081651166442,3753383,2206.656628097427,32.49109737412162
S2,A,2643,2854440,2837424,3746633,1869153,5615786,0.0,69.47404297875742,0,1967.386247390031,99.40387606675915
S2,B,2643,2854440,2834018,0,2068040,2068040,0.0,82.33687776436251,0,724.4993764100839,99.28455318731521
S2,C,2643,2854440,2822309,2796571,1176154,3972725,0.0,81.00879133495367,0,1391.7703647650676,98.87435013522793
S2,D,2643,2854440,2816228,1117,1322351,1323468,0.0,94.62159844586049,0,463.6524151847648,98.66131360266812
S2,E,2643,2854440,1360900,69469,5151245,5220714,1780.179333809525,793.8745544342787,2816397,1828.980115188969,47.676602065554015
S3,A,2613,2822040,2803009,3932961,1129152,5062113,0.0,77.62310377649652,0,1793.7779053450695,99.3256296863262
S3,B,2613,2822040,2799711,0,1242518,1242518,0.0,90.47801603506898,0,440.2907116837465,99.20876387294297
S3,C,2613,2822040,2796236,3354418,681980,4036398,0.0,83.17105109616865,0,1430.3121146404728,99.0856260010489
S3,D,2613,2822040,2791997,0,753684,753684,0.0,96.47269071180578,0,267.0706297571969,98.9354155150175
S3,E,2612,2820960,2139312,62924,3627036,3689960,1398.2991081871212,652.6593721946226,2747906,1308.0511598888322,75.83631104304918
S4,A,4588,4955040,4914782,5040870,1286761,6327631,0.0,93.00664260678391,0,1277.00906551713,99.18753430850205
S4,B,4588,4955040,4909409,0,1350582,1350582,0.0,104.25448429344829,0,272.56732538990605,99.07909926055088
S4,C,4588,4955040,4907662,4606136,774109,5380245,0.0,96.54962070516383,0,1085.8126271432723,99.04384222932609
S4,D,4588,4955040,4901765,0,810150,810150,0.0,107.57357698388958,0,163.50019374212923,98.92483209015467
S4,E,4588,4955040,4648028,34147,1442818,1476965,445.63508567605504,301.0175084967966,4422616,298.073274887791,93.80404598146534
S5,A,3140,3391200,3361018,4871125,719594,5590719,0.0,101.02814061001023,0,1648.5960721868364,99.10999056381222
S5,B,3140,3391200,3356888,0,771855,771855,0.0,114.25513233208366,0,227.60527246992214,98.98820476527483
S5,C,3140,3391200,3357395,4511886,436546,4948432,0.0,103.66574059965865,0,1459.1979240386884,99.00315522528899
S5,D,3139,3390120,3351874,0,465275,465275,0.0,116.89667809516781,0,137.2444043278704,98.87183934491995
S5,E,3139,3390120,3258281,11749,602761,614510,262.0257433542591,233.60372737564313,2721609,181.26496997156443,96.1110816136302
S6,A,2296,2479680,2457693,4567442,525724,5093166,0.0,100.8475975284951,0,2053.9609949670926,99.11331300813008
S6,B,2296,2479680,2454168,0,577803,577803,0.0,115.69887414926386,0,233.0151471157569,98.97115756871855
S6,C,2295,2478600,2453756,4247851,317912,4565763,0.0,103.55921727154225,0,1842.0733478576617,98.99765996933752
S6,D,2295,2478600,2450065,0,349902,349902,0.0,118.67215976797605,0,141.16920842411037,98.84874525942064
S6,E,2295,2478600,2381319,10812,449172,459984,262.7149509406716,235.4054382517197,1990290,185.58218349068022,96.07516339869281
