scenario_id,sweep,model,flight_id,aircraft_id,planned_start_time,start_time,cruise_arrival_time,descent_start_time,end_time,delay_s,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s,takeoff_pad_start_s,takeoff_pad_end_s,landing_pad_start_s,landing_pad_end_s,cruise_altitude,distance_m,detour_distance_m,building_risks,building_collisions,path_changes,altitude_changes
S1,continuous,C,0,71,0.0,0.0,61.433602337292925,61.433602337292925,80.53111841618698,0.0,0.0,0.0,0.0,0.0,0.0,70.531118416187,70.531118416187,300.0,1352.0871041271587,0.0,1,1,0,0
S1,continuous,C,1,57,10.0,10.0,78.95734599774741,78.95734599774741,124.99476165320968,0.0,0.0,0.0,0.0,10.0,10.0,114.99476165320968,114.99476165320968,300.0,1714.0834801651868,0.0,1,1,0,0
S1,continuous,C,2,14,20.0,20.0,77.95365233460895,77.95365233460895,128.43894959885682,0.0,0.0,0.0,0.0,20.0,20.0,118.43894959885682,118.43894959885682,300.0,1396.6021195084159,0.0,1,1,0,0
S1,continuous,C,3,24,30.0,90.0,136.9453691063499,136.9453691063499,182.7546929487873,60.0,0.0,0.0,0.0,90.0,90.0,172.7546929487873,172.7546929487873,300.0,639.3367038487589,0.0,0,0,0,0
S1,continuous,C,4,59,40.0,40.0,86.69761195149692,86.69761195149692,124.76612329039216,0.0,0.0,0.0,0.0,40.0,40.0,114.76612329039216,114.76612329039216,300.0,478.60838317729815,0.0,0,0,0,0
S1,continuous,C,5,31,50.0,50.0,113.59046941396818,113.59046941396818,157.688867075375,0.0,0.0,0.0,0.0,50.0,50.0,147.688867075375,147.688867075375,300.0,1372.2205895155498,0.0,2,2,0,0
S1,continuous,C,6,55,60.0,240.0,281.19076670398533,281.19076670398533,325.28916436539214,180.0,0.0,0.0,0.0,240.0,240.0,315.28916436539214,315.28916436539214,300.0,618.9849026741817,0.0,0,0,0,0
S1,continuous,C,7,19,70.0,70.0,131.97781296870215,131.97781296870215,178.01522862416442,0.0,0.0,0.0,0.0,70.0,70.0,168.01522862416442,168.01522862416442,300.0,1274.4052498014253,0.0,0,0,0,0
S1,continuous,C,8,68,80.0,80.0,157.00608114689226,157.00608114689226,217.07585454780084,0.0,0.0,0.0,0.0,80.0,80.0,207.07585454780084,207.07585454780084,350.0,1944.7464268199565,0.0,0,0,0,1
S1,continuous,C,9,34,90.0,150.0,242.11713825519033,242.11713825519033,320.1856495940856,60.0,0.0,0.0,0.0,150.0,150.0,310.1856495940856,310.1856495940856,500.0,1192.1439237297614,0.0,0,0,0,1
S1,continuous,C,10,30,100.0,160.0,217.94545522325583,217.94545522325583,268.0152286241644,60.0,0.0,0.0,0.0,160.0,160.0,258.0152286241644,258.0152286241644,300.0,1274.4052498014253,0.0,0,0,0,0
S1,continuous,C,11,74,110.0,110.0,173.59046941396818,173.59046941396818,217.688867075375,0.0,0.0,0.0,0.0,110.0,110.0,207.688867075375,207.688867075375,300.0,1372.2205895155498,0.0,2,2,0,0
S1,continuous,C,12,46,120.0,120.0,190.6408236296382,190.6408236296382,256.67823928510046,0.0,0.0,0.0,0.0,120.0,120.0,246.67823928510046,246.67823928510046,400.0,981.3336833028849,0.0,0,0,0,1
S1,continuous,C,13,58,130.0,130.0,179.64422322969384,179.64422322969384,239.71399663060242,0.0,0.0,0.0,0.0,130.0,130.0,229.71399663060242,229.71399663060242,350.0,1815.6169241189978,0.0,0,0,0,1
S1,continuous,C,14,69,140.0,200.0,264.5094643889618,264.5094643889618,314.9947616532097,60.0,0.0,0.0,0.0,200.0,200.0,304.9947616532097,304.9947616532097,300.0,1714.0834801651868,0.0,1,1,0,0
S1,continuous,C,15,70,150.0,210.0,267.69747338773993,267.69747338773993,313.7348890432022,60.0,0.0,0.0,0.0,210.0,210.0,303.7348890432022,303.7348890432022,300.0,1204.0107874825708,0.0,1,1,0,0
S1,continuous,C,16,49,160.0,160.0,271.5177863700326,271.5177863700326,371.5875597709412,0.0,0.0,0.0,0.0,160.0,160.0,361.5875597709412,361.5875597709412,550.0,2026.6263213897432,0.0,0,0,0,1
S1,continuous,C,17,17,170.0,230.0,300.8689154426631,300.8689154426631,366.6782392851005,60.0,0.0,0.0,0.0,230.0,230.0,356.67823928510046,356.67823928510046,400.0,981.3336833028849,0.0,0,0,0,1
S1,continuous,C,18,6,180.0,420.0,472.22479484451566,472.22479484451566,518.8087059252304,240.0,0.0,0.0,0.0,420.0,420.0,508.8087059252303,508.8087059252303,300.0,889.6642414209769,0.0,1,1,0,0
S1,continuous,C,19,61,190.0,190.0,278.9573459977474,278.9573459977474,344.99476165320965,0.0,0.0,0.0,0.0,190.0,190.0,334.99476165320965,334.99476165320965,400.0,1914.0834801651868,0.0,0,0,0,1
S1,continuous,C,20,25,200.0,320.0,390.49194346708623,390.49194346708623,437.0758545478009,120.0,0.0,0.0,0.0,320.0,320.0,427.0758545478009,427.0758545478009,300.0,1844.7464268199565,0.0,4,4,0,0
S1,continuous,C,21,22,210.0,210.0,251.1907667039853,251.1907667039853,295.28916436539214,0.0,0.0,0.0,0.0,210.0,210.0,285.28916436539214,285.28916436539214,300.0,618.9849026741817,0.0,0,0,0,0
S1,continuous,C,22,33,220.0,220.0,250.43528896843026,250.43528896843026,288.5038003073255,0.0,0.0,0.0,0.0,220.0,220.0,278.5038003073255,278.5038003073255,300.0,1041.6816630580263,0.0,0,0,0,0
S1,continuous,C,23,31,230.0,230.0,279.8765784979893,279.8765784979893,343.97497615939614,0.0,0.0,0.0,0.0,230.0,230.0,333.97497615939614,333.97497615939614,400.0,1234.583729974523,0.0,0,0,0,1
S1,continuous,C,24,71,240.0,240.0,328.7274728122586,328.7274728122586,414.7648884677209,0.0,0.0,0.0,0.0,240.0,240.0,404.7648884677209,404.7648884677209,500.0,1159.284076641134,0.0,0,0,0,1
S1,continuous,C,25,48,250.0,370.0,447.2206530264969,447.2206530264969,515.2891643653921,120.0,0.0,0.0,0.0,370.0,370.0,505.28916436539214,505.28916436539214,450.0,918.9849026741817,0.0,0,0,0,1
S1,continuous,C,26,57,260.0,440.0,510.49194346708623,510.49194346708623,557.0758545478009,180.0,0.0,0.0,0.0,440.0,440.0,547.0758545478009,547.0758545478009,300.0,1844.7464268199565,0.0,4,4,0,0
S1,continuous,C,27,62,270.0,270.0,329.6442232296938,329.6442232296938,399.7139966306024,0.0,0.0,0.0,0.0,270.0,270.0,389.7139966306024,389.7139966306024,400.0,1915.6169241189978,0.0,0,0,0,1
S1,continuous,C,28,64,280.0,340.0,381.0881014509878,381.0881014509878,436.89742529342516,60.0,0.0,0.0,0.0,340.0,340.0,426.89742529342516,426.89742529342516,350.0,1223.9065577462407,0.0,0,0,0,1
S1,continuous,C,29,72,290.0,410.0,487.6190936744664,487.6190936744664,557.688867075375,120.0,0.0,0.0,0.0,410.0,410.0,547.688867075375,547.688867075375,400.0,1572.2205895155498,0.0,0,0,0,1
S1,continuous,C,30,4,300.0,540.0,594.4281995046357,594.4281995046357,644.4979729055443,240.0,0.0,0.0,0.0,540.0,540.0,634.4979729055443,634.4979729055443,300.0,1531.3373014150507,0.0,0,0,0,0
