scenario_id,sweep,model,flight_id,aircraft_id,planned_start_time,start_time,cruise_arrival_time,descent_start_time,end_time,delay_s,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s,takeoff_pad_start_s,takeoff_pad_end_s,landing_pad_start_s,landing_pad_end_s,cruise_altitude,distance_m,detour_distance_m,building_risks,building_collisions,path_changes,altitude_changes
S2,continuous,B,0,93,0.0,0.0,68.01671965909287,68.01671965909287,96.38725961241644,0.0,0.0,0.0,0.0,0.0,0.0,86.38725961241644,86.38725961241644,350.0,1727.849512307666,0.0,0,0,0,1
S2,continuous,B,1,48,10.0,10.0,62.87519111422939,62.87519111422939,99.2407202232944,0.0,0.0,0.0,0.0,10.0,10.0,89.2407202232944,89.2407202232944,350.0,939.4566421011291,0.0,0,0,0,1
S2,continuous,B,2,96,20.0,20.0,60.28538451445955,60.28538451445955,67.18607450969428,0.0,0.0,0.0,0.0,20.0,20.0,60.28538451445955,60.28538451445955,300.0,569.4786732139883,0.0,0,0,0,0
S2,continuous,B,3,73,30.0,30.0,42.643256036690495,42.643256036690495,69.00878514575552,0.0,0.0,0.0,0.0,30.0,30.0,59.00878514575552,59.00878514575552,300.0,660.933239428882,0.0,0,0,0,0
S2,continuous,B,4,16,40.0,40.0,83.44947049741972,83.44947049741972,130.59706995264838,0.0,0.0,0.0,0.0,40.0,40.0,120.59706995264837,120.59706995264837,350.0,1382.852733315838,0.0,0,0,0,1
S2,continuous,B,5,57,50.0,50.0,98.57453802217087,98.57453802217087,146.38725961241644,0.0,0.0,0.0,0.0,50.0,50.0,136.38725961241644,136.38725961241644,350.0,1727.849512307666,0.0,0,0,0,1
S2,continuous,B,6,32,60.0,60.0,95.67852527787551,95.67852527787551,100.76681947078052,0.0,0.0,0.0,0.0,60.0,60.0,95.67852527787551,95.67852527787551,300.0,253.29274509673718,0.0,0,0,0,0
S2,continuous,B,7,39,70.0,70.0,155.24345484253251,155.24345484253251,183.6139947958561,0.0,0.0,0.0,0.0,70.0,70.0,173.6139947958561,173.6139947958561,350.0,2100.9546884538627,0.0,0,0,0,1
S2,continuous,B,8,86,80.0,80.0,122.3840343050093,122.3840343050093,167.26052745732534,0.0,0.0,0.0,0.0,80.0,80.0,157.26052745732534,157.26052745732534,350.0,1300.4681223072464,0.0,0,0,0,1
S2,continuous,B,9,41,90.0,90.0,100.21442615287035,100.21442615287035,109.19420484131092,0.0,0.0,0.0,0.0,90.0,90.0,100.21442615287035,100.21442615287035,300.0,306.2760157109618,0.0,0,0,0,0
