aircraft_id,mission_count
0,10
1,9
2,11
3,10
4,5
5,18
6,7
7,10
8,13
9,10
10,11
11,12
12,11
13,8
14,9
15,7
16,8
17,9
18,12
19,8
20,7
21,10
22,12
23,16
24,11
25,10
26,8
27,11
28,10
29,13
30,11
31,14
32,8
33,10
34,11
35,9
36,12
37,10
38,13
39,10
40,12
41,12
42,10
43,8
44,11
45,10
46,11
47,10
48,13
49,9
50,7
51,9
52,6
53,11
54,12
55,13
56,8
57,10
58,11
59,12
60,5
61,14
62,10
63,11
64,12
65,16
66,13
67,8
68,17
69,14
70,12
71,12
72,6
73,13
74,13
75,12
76,12
77,7
78,18
79,6
80,17
81,7
82,14
83,15
84,16
85,15
86,15
87,10
88,11
89,13
90,9
91,12
92,12
93,7
94,5
95,12
96,8
97,14
98,10
99,8
