scenario_id,sweep,model,aircraft_count,speed_kmh,speed_mps,building_density,building_count,vertiport_count,actual_vertiport_count,safety_distance_m,safety_label,pad_occupancy_enabled,weather,total_flights,success_flights,failed_flights,building_risk_count,building_collision_count,aircraft_collision_count,aircraft_conflict_sample_count,collision_risk_count,avg_flight_distance_m,avg_flight_time_s,avg_delay_s,avg_takeoff_pad_delay_s,avg_landing_pad_delay_s,avg_pad_delay_s,max_pad_delay_s,pad_wait_flight_count,avg_detour_distance_m,avg_altitude_changes,avg_path_changes,scenario_name,description,map_width,map_height,grid_size,road_width,fleet_size,duration_s,mission_interval_s,generated_missions,completed_within_duration,completed_after_duration,active_vehicle_count,avg_missions_per_active_vehicle,max_missions_per_vehicle,run_id,cycle,run_seed,wallclock_model
S2,continuous,A,100,240.0,66.66666666666667,0.35,556,12,12,152.4,500ft,False,disabled,1080,38,1042,1877,1877,773,956,2650,1318.6282216343727,74.56528893621686,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1072,8,100,10.8,19,S2_cycle0000_A_seed1000,0,1000,A
S2,continuous,B,100,240.0,66.66666666666667,0.35,577,12,12,152.4,500ft,False,disabled,1080,223,857,51,0,851,1100,851,1468.6958319723822,87.06259413760709,0.0,0.0,0.0,0.0,0.0,0,0.023253983217848724,0.674074074074074,0.04722222222222222,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1071,9,100,10.8,19,S2_cycle0000_B_seed1001,0,1001,B
S2,continuous,C,100,240.0,66.66666666666667,0.35,563,12,12,152.4,500ft,False,disabled,1080,210,870,1316,1316,398,400,1714,1275.6345000114147,71.03423068151034,55.111111111111114,0.0,0.0,0.0,0.0,0,0.0,0.25277777777777777,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1069,11,100,10.8,20,S2_cycle0000_C_seed1002,0,1002,C
S2,continuous,D,100,240.0,66.66666666666667,0.35,566,12,12,152.4,500ft,False,disabled,1080,435,645,0,0,478,478,478,1705.7174607082948,100.31586940827938,48.94444444444444,0.0,0.0,0.0,0.0,0,0.0,0.7814814814814814,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1066,14,100,10.8,19,S2_cycle0000_D_seed1003,0,1003,D
S2,continuous,E,100,240.0,66.66666666666667,0.35,568,12,12,152.4,500ft,True,disabled,1080,267,813,51,26,1687,29073,1713,1554.1501507376524,773.3770563685063,1158.1082617076315,1132.9971505965202,642.5101360804476,1775.5072866769688,3754.4199846225747,1071,0.05118870528760403,0.8398148148148148,0.046296296296296294,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,510,570,100,10.8,14,S2_cycle0000_E_seed1004,0,1004,E
S2,continuous,A,100,240.0,66.66666666666667,0.35,602,12,12,152.4,500ft,False,disabled,1080,92,988,1817,1817,579,688,2396,1347.7070143723429,64.83238848090888,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1074,6,100,10.8,20,S2_cycle0001_A_seed1100,1,1100,A
S2,continuous,B,100,240.0,66.66666666666667,0.35,530,12,12,152.4,500ft,False,disabled,1080,286,794,42,0,752,939,752,1103.6114708220705,68.44419231243592,0.0,0.0,0.0,0.0,0.0,0,0.17469741063894667,0.4564814814814815,0.03888888888888889,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1075,5,100,10.8,20,S2_cycle0001_B_seed1101,1,1101,B
S2,continuous,C,100,240.0,66.66666666666667,0.35,559,12,12,152.4,500ft,False,disabled,1080,186,894,972,972,447,447,1419,1305.021780235777,88.78450198640665,44.44444444444444,0.0,0.0,0.0,0.0,0,0.0,0.29074074074074074,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1069,11,100,10.8,16,S2_cycle0001_C_seed1102,1,1102,C
S2,continuous,D,100,240.0,66.66666666666667,0.35,557,12,12,152.4,500ft,False,disabled,1080,286,794,15,3,652,654,655,1568.66509900936,119.97881943538582,73.61111111111111,0.0,0.0,0.0,0.0,0,0.03208075489587159,0.8157407407407408,0.01574074074074074,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1065,15,100,10.8,17,S2_cycle0001_D_seed1103,1,1103,D
S2,continuous,E,100,240.0,66.66666666666667,0.35,579,12,12,152.4,500ft,True,disabled,1080,344,736,36,13,1533,31398,1546,1563.351687752869,783.2819041834367,1166.5573204020104,1140.2795426242321,656.7395281824049,1797.0190708066389,4549.107521283138,1071,0.0577690703277125,0.8268518518518518,0.04351851851851852,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,528,552,100,10.8,14,S2_cycle0001_E_seed1104,1,1104,E
