scenario_id,sweep,model,flight_id,aircraft_id,planned_start_time,start_time,cruise_arrival_time,descent_start_time,end_time,delay_s,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s,takeoff_pad_start_s,takeoff_pad_end_s,landing_pad_start_s,landing_pad_end_s,cruise_altitude,distance_m,detour_distance_m,building_risks,building_collisions,path_changes,altitude_changes
S3,continuous,A,0,70,0.0,0.0,38.718084957387106,38.718084957387106,64.14163558491163,0.0,0.0,0.0,0.0,0.0,0.0,54.14163558491162,54.14163558491162,300.0,1449.3051872782025,0.0,0,0,0,0
S3,continuous,A,1,92,10.0,10.0,72.71749879627482,72.71749879627482,96.95617097845746,0.0,0.0,0.0,0.0,10.0,10.0,86.95617097845745,86.95617097845745,300.0,1134.0753428611292,0.0,0,0,0,0
S3,continuous,A,2,93,20.0,20.0,74.78394015119697,74.78394015119697,110.28701564480471,0.0,0.0,0.0,0.0,20.0,20.0,100.28701564480471,100.28701564480471,300.0,1424.0634646785325,0.0,0,0,0,0
S3,continuous,A,3,73,30.0,30.0,68.7180849573871,68.7180849573871,94.14163558491163,0.0,0.0,0.0,0.0,30.0,30.0,84.14163558491163,84.14163558491163,300.0,1449.3051872782025,0.0,0,0,0,0
S3,continuous,A,4,69,40.0,40.0,78.83489184873736,78.83489184873736,114.33796734234508,0.0,0.0,0.0,0.0,40.0,40.0,104.33796734234508,104.33796734234508,300.0,2703.4590094254872,0.0,2,2,0,0
S3,continuous,A,5,140,50.0,50.0,77.30656526891359,77.30656526891359,105.90495553670291,0.0,0.0,0.0,0.0,50.0,50.0,95.90495553670291,95.90495553670291,300.0,1900.380477974811,0.0,3,3,0,0
S3,continuous,A,6,122,60.0,60.0,97.03304988519433,97.03304988519433,133.03978801146414,0.0,0.0,0.0,0.0,60.0,60.0,123.03978801146414,123.03978801146414,300.0,1373.6345512227545,0.0,0,0,0,0
S3,continuous,A,7,24,70.0,70.0,133.17484115312664,133.17484115312664,171.22751164266182,0.0,0.0,0.0,0.0,70.0,70.0,161.22751164266182,161.22751164266182,300.0,1826.7912433832378,0.0,1,1,0,0
S3,continuous,A,8,44,80.0,80.0,143.16459237567753,143.16459237567753,144.1870111533809,0.0,0.0,0.0,0.0,80.0,80.0,143.16459237567753,143.16459237567753,300.0,1810.3703293977135,0.0,2,2,0,0
S3,continuous,A,9,138,90.0,90.0,159.72180852737011,159.72180852737011,195.72854665363994,0.0,0.0,0.0,0.0,90.0,90.0,185.72854665363994,185.72854665363994,300.0,2253.0260731831427,0.0,2,2,0,0
S3,continuous,A,10,17,100.0,100.0,111.409414080246,111.409414080246,136.83296470777051,0.0,0.0,0.0,0.0,100.0,100.0,126.83296470777051,126.83296470777051,300.0,684.0614883906856,0.0,1,1,0,0
S3,continuous,A,11,77,110.0,110.0,142.3823505284753,142.3823505284753,193.7599387090392,0.0,0.0,0.0,0.0,110.0,110.0,183.7599387090392,183.7599387090392,300.0,1140.4421777129571,0.0,1,1,0,0
S3,continuous,A,12,57,120.0,120.0,157.51430768307273,157.51430768307273,195.56697817260792,0.0,0.0,0.0,0.0,120.0,120.0,185.56697817260792,185.56697817260792,300.0,1415.9480662309743,0.0,0,0,0,0
S3,continuous,A,13,43,130.0,130.0,163.99515478130874,163.99515478130874,189.41870540883326,0.0,0.0,0.0,0.0,130.0,130.0,179.41870540883326,179.41870540883326,300.0,2315.2919432586614,0.0,2,2,0,0
S3,continuous,A,14,139,140.0,140.0,189.94449277982469,189.94449277982469,190.96691155752805,0.0,0.0,0.0,0.0,140.0,140.0,189.94449277982469,189.94449277982469,300.0,823.2845410548605,0.0,2,2,0,0
S3,continuous,A,15,100,150.0,150.0,186.39455572107033,186.39455572107033,224.44722621060552,0.0,0.0,0.0,0.0,150.0,150.0,214.44722621060552,214.44722621060552,300.0,1121.8489492844367,0.0,0,0,0,0
S3,continuous,A,16,61,160.0,160.0,204.07186449612723,204.07186449612723,232.67025476391655,0.0,0.0,0.0,0.0,160.0,160.0,222.67025476391655,222.67025476391655,300.0,3002.946789114551,0.0,7,7,0,0
S3,continuous,A,17,69,170.0,170.0,232.322462826467,232.322462826467,252.82412341345022,0.0,0.0,0.0,0.0,170.0,170.0,242.82412341345022,242.82412341345022,300.0,1696.2249142298542,0.0,2,2,0,0
S3,continuous,A,18,124,180.0,180.0,224.32028424585707,224.32028424585707,225.34270302356043,0.0,0.0,0.0,0.0,180.0,180.0,224.32028424585707,224.32028424585707,300.0,1944.6211367194842,0.0,1,1,0,0
S3,continuous,A,19,101,190.0,190.0,236.41529138118,236.41529138118,278.17412682884833,0.0,0.0,0.0,0.0,190.0,190.0,268.17412682884833,268.17412682884833,300.0,2287.97036242417,0.0,2,2,0,0
S3,continuous,A,20,86,200.0,200.0,267.2939767410153,267.2939767410153,318.57195299791266,0.0,0.0,0.0,0.0,200.0,200.0,308.57195299791266,308.57195299791266,300.0,2553.2986752463635,0.0,3,3,0,0
S3,continuous,A,21,105,210.0,210.0,226.26496830144768,226.26496830144768,267.796550633386,0.0,0.0,0.0,0.0,210.0,210.0,257.796550633386,257.796550633386,300.0,1228.9399737978292,0.0,2,2,0,0
S3,continuous,A,22,53,220.0,220.0,267.76861523882144,267.76861523882144,319.0465914957188,0.0,0.0,0.0,0.0,220.0,220.0,309.0465914957188,309.0465914957188,300.0,2165.695098784365,0.0,0,0,0,0
S3,continuous,A,23,112,230.0,230.0,290.75225479943623,290.75225479943623,294.0552364766795,0.0,0.0,0.0,0.0,230.0,230.0,290.75225479943623,290.75225479943623,300.0,2303.0978285016213,0.0,7,7,0,0
S3,continuous,A,24,64,240.0,240.0,284.3168864494412,284.3168864494412,319.81996194304895,0.0,0.0,0.0,0.0,240.0,240.0,309.81996194304895,309.81996194304895,300.0,2928.290604000784,0.0,2,2,0,0
S3,continuous,A,25,62,250.0,250.0,291.8109057951198,291.8109057951198,327.8176439213896,0.0,0.0,0.0,0.0,250.0,250.0,317.8176439213896,317.8176439213896,300.0,1952.2508367464982,0.0,0,0,0,0
S3,continuous,A,26,68,260.0,260.0,294.8462173042596,294.8462173042596,335.57260224731857,0.0,0.0,0.0,0.0,260.0,260.0,325.57260224731857,325.57260224731857,300.0,2448.5436163663903,0.0,3,3,0,0
S3,continuous,A,27,124,270.0,270.0,300.80849888747343,300.80849888747343,354.5682796241523,0.0,0.0,0.0,0.0,270.0,270.0,344.5682796241523,344.5682796241523,300.0,1047.429697760073,0.0,0,0,0,0
S3,continuous,A,28,95,280.0,280.0,336.6089852343358,336.6089852343358,357.02549706706924,0.0,0.0,0.0,0.0,280.0,280.0,347.02549706706924,347.02549706706924,300.0,1314.9006643165274,0.0,0,0,0,0
S3,continuous,A,29,59,290.0,290.0,356.68362603450106,356.68362603450106,385.2820163022904,0.0,0.0,0.0,0.0,290.0,290.0,375.2820163022904,375.2820163022904,300.0,2368.1515025190465,0.0,1,1,0,0
S3,continuous,A,30,79,300.0,300.0,358.87962348968597,358.87962348968597,362.18260516692925,0.0,0.0,0.0,0.0,300.0,300.0,358.87962348968597,358.87962348968597,300.0,1380.7088972290849,0.0,1,1,0,0
S3,continuous,A,31,140,310.0,310.0,363.12291441242763,363.12291441242763,414.400890669325,0.0,0.0,0.0,0.0,310.0,310.0,404.400890669325,404.400890669325,300.0,2303.1993908783975,0.0,1,1,0,0
S3,continuous,A,32,38,320.0,320.0,378.3860970918386,378.3860970918386,381.6890787690819,0.0,0.0,0.0,0.0,320.0,320.0,378.3860970918386,378.3860970918386,300.0,2414.2032632741934,0.0,0,0,0,0
S3,continuous,A,33,64,330.0,330.0,358.73702645054914,358.73702645054914,360.0046393472985,0.0,0.0,0.0,0.0,330.0,330.0,358.73702645054914,358.73702645054914,300.0,1718.4559577570205,0.0,0,0,0,0
S3,continuous,A,34,86,340.0,340.0,385.7176886538504,385.7176886538504,426.4440735969094,0.0,0.0,0.0,0.0,340.0,340.0,416.4440735969094,416.4440735969094,300.0,1487.9104351249784,0.0,3,3,0,0
S3,continuous,A,35,35,350.0,350.0,375.4058302960776,375.4058302960776,426.683806552975,0.0,0.0,0.0,0.0,350.0,350.0,416.683806552975,416.683806552975,300.0,691.0936713377657,0.0,0,0,0,0
S3,continuous,A,36,65,360.0,360.0,402.5540612970139,402.5540612970139,440.60673178654906,0.0,0.0,0.0,0.0,360.0,360.0,430.60673178654906,430.60673178654906,300.0,806.7852544619639,0.0,1,1,0,0
S3,continuous,A,37,42,370.0,370.0,438.1666919994831,438.1666919994831,479.6982743314214,0.0,0.0,0.0,0.0,370.0,370.0,469.6982743314214,469.6982743314214,300.0,1589.9621757832235,0.0,2,2,0,0
S3,continuous,A,38,81,380.0,380.0,446.92964240088037,446.92964240088037,471.168314583063,0.0,0.0,0.0,0.0,380.0,380.0,461.168314583063,461.168314583063,300.0,2071.709116147636,0.0,2,2,0,0
S3,continuous,A,39,8,390.0,390.0,444.37826991970474,444.37826991970474,486.13710536737307,0.0,0.0,0.0,0.0,390.0,390.0,476.13710536737307,476.13710536737307,300.0,1272.8979280824635,0.0,1,1,0,0
S3,continuous,A,40,69,400.0,400.0,438.71808495738713,438.71808495738713,464.1416355849116,0.0,0.0,0.0,0.0,400.0,400.0,454.1416355849116,454.1416355849116,300.0,1449.3051872782025,0.0,0,0,0,0
S3,continuous,A,41,79,410.0,410.0,483.3041183968402,483.3041183968402,537.063899133519,0.0,0.0,0.0,0.0,410.0,410.0,527.063899133519,527.063899133519,300.0,1993.5982609640687,0.0,2,2,0,0
S3,continuous,A,42,41,420.0,420.0,453.5299830305272,453.5299830305272,456.8329647077705,0.0,0.0,0.0,0.0,420.0,420.0,453.5299830305272,453.5299830305272,300.0,684.0614883906856,0.0,1,1,0,0
S3,continuous,A,43,66,430.0,430.0,510.16221848714235,510.16221848714235,534.400890669325,0.0,0.0,0.0,0.0,430.0,430.0,524.400890669325,524.400890669325,300.0,2303.1993908783975,0.0,1,1,0,0
S3,continuous,A,44,76,440.0,440.0,475.3746856902945,475.3746856902945,495.8763462772777,0.0,0.0,0.0,0.0,440.0,440.0,485.8763462772777,485.8763462772777,300.0,1185.5515505329952,0.0,1,1,0,0
S3,continuous,A,45,104,450.0,450.0,488.1015963879047,488.1015963879047,524.1083345141745,0.0,0.0,0.0,0.0,450.0,450.0,514.1083345141745,514.1083345141745,300.0,2516.4562463949933,0.0,5,5,0,0
S3,continuous,A,46,97,460.0,460.0,525.7496045204568,525.7496045204568,561.2526800140646,0.0,0.0,0.0,0.0,460.0,460.0,551.2526800140646,551.2526800140646,300.0,1245.6358667366299,0.0,0,0,0,0
S3,continuous,A,47,38,470.0,470.0,506.65827288262886,506.65827288262886,547.3846578256878,0.0,0.0,0.0,0.0,470.0,470.0,537.3846578256878,537.3846578256878,300.0,1079.731161526543,0.0,1,1,0,0
S3,continuous,A,48,108,480.0,480.0,534.6055230354349,534.6055230354349,576.1371053673732,0.0,0.0,0.0,0.0,480.0,480.0,566.1371053673732,566.1371053673732,300.0,1272.8979280824635,0.0,1,1,0,0
S3,continuous,A,49,133,490.0,490.0,523.9951547813088,523.9951547813088,549.4187054088333,0.0,0.0,0.0,0.0,490.0,490.0,539.4187054088333,539.4187054088333,300.0,2315.2919432586614,0.0,2,2,0,0
S3,continuous,A,50,13,500.0,500.0,563.691186387531,563.691186387531,599.6979245138009,0.0,0.0,0.0,0.0,500.0,500.0,589.6979245138009,589.6979245138009,300.0,2858.327161102739,0.0,5,5,0,0
S3,continuous,A,51,101,510.0,510.0,568.3860970918386,568.3860970918386,571.6890787690819,0.0,0.0,0.0,0.0,510.0,510.0,568.3860970918386,568.3860970918386,300.0,2414.2032632741934,0.0,0,0,0,0
S3,continuous,A,52,120,520.0,520.0,579.1812697106197,579.1812697106197,632.9410504472986,0.0,0.0,0.0,0.0,520.0,520.0,622.9410504472986,622.9410504472986,300.0,2646.4312623607034,0.0,3,3,0,0
