scenario_id,sweep,model,vertiport_id,flight_id,aircraft_id,operation,start_s,end_s,duration_s,pad_delay_s
S3,continuous,E,13,0,45,takeoff,0.0,30.0,30.0,0.0
S3,continuous,E,6,0,45,landing,68.7028257608921,258.7028257608921,190.0,0.0
S3,continuous,E,1,1,57,takeoff,10.0,40.0,30.0,0.0
S3,continuous,E,8,1,57,landing,87.19008548809893,277.19008548809893,190.0,0.0
S3,continuous,E,15,2,148,takeoff,20.0,50.0,30.0,0.0
S3,continuous,E,14,2,148,landing,131.64823981540056,321.64823981540053,189.99999999999997,0.0
S3,continuous,E,11,3,42,takeoff,30.0,60.0,30.0,0.0
S3,continuous,E,6,3,42,landing,258.7028257608921,448.7028257608921,190.0,135.2232097567982
S3,continuous,E,9,4,129,takeoff,40.0,70.0,30.0,0.0
S3,continuous,E,19,4,129,landing,122.2248913832029,312.22489138320293,190.00000000000003,0.0
S3,continuous,E,17,5,28,takeoff,50.0,80.0,30.0,0.0
S3,continuous,E,13,5,28,landing,81.29678162719817,271.2967816271982,190.0,0.0
S3,continuous,E,1,6,145,takeoff,60.0,90.0,30.0,0.0
S3,continuous,E,2,6,145,landing,134.44273544166947,324.44273544166947,190.0,0.0
S3,continuous,E,12,7,61,takeoff,70.0,100.0,30.0,0.0
S3,continuous,E,10,7,61,landing,208.9749403104646,398.9749403104646,190.0,0.0
S3,continuous,E,9,8,139,takeoff,80.0,110.0,30.0,0.0
S3,continuous,E,18,8,139,landing,202.64527352228288,392.6452735222829,190.0,0.0
S3,continuous,E,9,9,104,takeoff,110.0,140.0,30.0,20.0
S3,continuous,E,5,9,104,landing,210.92371203650006,400.9237120365001,190.00000000000003,0.0
S3,continuous,E,14,10,115,takeoff,321.64823981540053,351.64823981540053,30.0,161.64823981540053
S3,continuous,E,10,10,115,landing,451.07053276483566,641.0705327648357,190.0,0.0
S3,continuous,E,2,11,65,takeoff,324.44273544166947,354.44273544166947,30.0,214.44273544166947
S3,continuous,E,12,11,65,landing,442.7636896846335,632.7636896846335,190.0,0.0
S3,continuous,E,4,12,112,takeoff,120.0,150.0,30.0,0.0
S3,continuous,E,5,12,112,landing,400.9237120365001,590.9237120365001,190.0,157.68198906252962
S3,continuous,E,17,13,92,takeoff,130.0,160.0,30.0,0.0
S3,continuous,E,18,13,92,landing,392.6452735222829,582.6452735222829,190.0,174.0667235625276
S3,continuous,E,7,14,44,takeoff,140.0,170.0,30.0,0.0
S3,continuous,E,4,14,44,landing,241.3033248071498,431.3033248071498,190.0,0.0
S3,continuous,E,4,15,73,takeoff,150.0,180.0,30.0,0.0
S3,continuous,E,16,15,73,landing,281.93149737973664,471.93149737973664,190.0,0.0
S3,continuous,E,19,16,41,takeoff,312.22489138320293,342.22489138320293,30.0,152.22489138320293
S3,continuous,E,15,16,41,landing,361.3325527554772,551.3325527554772,190.0,0.0
S3,continuous,E,11,17,10,takeoff,170.0,200.0,30.0,0.0
S3,continuous,E,14,17,10,landing,351.64823981540053,541.6482398154005,190.0,84.2362936650743
S3,continuous,E,7,18,137,takeoff,180.0,210.0,30.0,0.0
S3,continuous,E,14,18,137,landing,541.6482398154005,731.6482398154005,190.0,244.3295492660572
S3,continuous,E,17,19,94,takeoff,190.0,220.0,30.0,0.0
S3,continuous,E,11,19,94,landing,271.3220052958332,461.3220052958332,190.0,0.0
S3,continuous,E,17,20,40,takeoff,220.0,250.0,30.0,20.0
S3,continuous,E,14,20,40,landing,731.6482398154005,921.6482398154005,190.0,366.617470154213
S3,continuous,E,5,21,54,takeoff,590.9237120365001,620.9237120365001,30.0,380.9237120365001
S3,continuous,E,2,21,54,landing,705.3549006783903,895.3549006783903,190.0,0.0
S3,continuous,E,3,22,17,takeoff,220.0,250.0,30.0,0.0
S3,continuous,E,10,22,17,landing,641.0705327648357,831.0705327648357,190.0,292.9692056888207
S3,continuous,E,12,23,77,takeoff,230.0,260.0,30.0,0.0
S3,continuous,E,7,23,77,landing,306.6983081402618,496.6983081402618,190.0,0.0
S3,continuous,E,17,24,57,takeoff,250.0,280.0,30.0,10.0
S3,continuous,E,16,24,57,landing,471.93149737973664,661.9314973797366,189.99999999999994,121.57293557667003
S3,continuous,E,14,25,122,takeoff,921.6482398154005,951.6482398154005,30.0,671.6482398154005
S3,continuous,E,18,25,122,landing,1030.7880383123734,1220.7880383123734,190.0,0.0
S3,continuous,E,15,26,30,takeoff,260.0,290.0,30.0,0.0
S3,continuous,E,19,26,30,landing,342.22489138320293,532.2248913832029,190.0,40.09830740713102
S3,continuous,E,17,27,143,takeoff,280.0,310.0,30.0,10.0
