scenario_id,sweep,model,flight_id,aircraft_id,time_s,x,y,z,phase,cruise_altitude,start_time,cruise_arrival_time,descent_start_time,end_time,origin_id,destination_id,speed_kmh,safety_distance_m,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s
S3,continuous,B,0,24,0.0,1306.996,1227.184,257.309,climb,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,0,24,9.269,1306.996,1227.184,303.654,climb,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,0,24,18.538,1306.996,1227.184,350.0,climb,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,0,24,18.538,1306.996,1227.184,350.0,cruise,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,0,24,27.052,1703.979,1632.859,350.0,cruise,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,0,24,35.566,2100.963,2038.533,350.0,cruise,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,0,24,44.08,2497.946,2444.208,350.0,cruise,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,0,24,44.08,2497.946,2444.208,350.0,descend,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,0,24,53.205,2497.946,2444.208,304.377,descend,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,0,24,62.33,2497.946,2444.208,258.753,descend,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,0,24,71.454,2497.946,2444.208,213.13,descend,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,0,24,80.579,2497.946,2444.208,167.507,descend,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,0,24,89.704,2497.946,2444.208,121.883,descend,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,0,24,98.828,2497.946,2444.208,76.26,descend,350.0,0.0,44.08,44.08,98.828,5,19,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,1,70,10.0,2280.549,563.925,40.421,climb,300.0,10.0,68.538,68.538,76.929,12,2,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,1,70,18.653,2280.549,563.925,83.684,climb,300.0,10.0,68.538,68.538,76.929,12,2,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,1,70,27.305,2280.549,563.925,126.947,climb,300.0,10.0,68.538,68.538,76.929,12,2,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,1,70,35.958,2280.549,563.925,170.211,climb,300.0,10.0,68.538,68.538,76.929,12,2,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,1,70,44.611,2280.549,563.925,213.474,climb,300.0,10.0,68.538,68.538,76.929,12,2,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,1,70,53.263,2280.549,563.925,256.737,climb,300.0,10.0,68.538,68.538,76.929,12,2,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,1,70,61.916,2280.549,563.925,300.0,climb,300.0,10.0,68.538,68.538,76.929,12,2,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,1,70,61.916,2280.549,563.925,300.0,cruise,300.0,10.0,68.538,68.538,76.929,12,2,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,1,70,68.538,2064.405,948.883,300.0,cruise,300.0,10.0,68.538,68.538,76.929,12,2,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,1,70,68.538,2064.405,948.883,300.0,descend,300.0,10.0,68.538,68.538,76.929,12,2,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,1,70,76.929,2064.405,948.883,258.045,descend,300.0,10.0,68.538,68.538,76.929,12,2,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,2,95,20.0,1306.996,1227.184,257.309,climb,350.0,20.0,58.148,58.148,113.723,5,3,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,2,95,29.269,1306.996,1227.184,303.654,climb,350.0,20.0,58.148,58.148,113.723,5,3,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,2,95,38.538,1306.996,1227.184,350.0,climb,350.0,20.0,58.148,58.148,113.723,5,3,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,2,95,38.538,1306.996,1227.184,350.0,cruise,350.0,20.0,58.148,58.148,113.723,5,3,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,2,95,48.343,858.542,751.638,350.0,cruise,350.0,20.0,58.148,58.148,113.723,5,3,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,2,95,58.148,410.088,276.091,350.0,cruise,350.0,20.0,58.148,58.148,113.723,5,3,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,2,95,58.148,410.088,276.091,350.0,descend,350.0,20.0,58.148,58.148,113.723,5,3,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,2,95,67.41,410.088,276.091,303.688,descend,350.0,20.0,58.148,58.148,113.723,5,3,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,2,95,76.673,410.088,276.091,257.375,descend,350.0,20.0,58.148,58.148,113.723,5,3,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,2,95,85.935,410.088,276.091,211.063,descend,350.0,20.0,58.148,58.148,113.723,5,3,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,2,95,95.198,410.088,276.091,164.75,descend,350.0,20.0,58.148,58.148,113.723,5,3,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,2,95,104.46,410.088,276.091,118.438,descend,350.0,20.0,58.148,58.148,113.723,5,3,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,2,95,113.723,410.088,276.091,72.126,descend,350.0,20.0,58.148,58.148,113.723,5,3,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,3,65,30.0,2658.815,39.329,224.782,climb,350.0,30.0,81.035,81.035,104.748,9,0,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,3,65,38.348,2658.815,39.329,266.521,climb,350.0,30.0,81.035,81.035,104.748,9,0,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,3,65,46.696,2658.815,39.329,308.261,climb,350.0,30.0,81.035,81.035,104.748,9,0,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,3,65,55.044,2658.815,39.329,350.0,climb,350.0,30.0,81.035,81.035,104.748,9,0,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,3,65,55.044,2658.815,39.329,350.0,cruise,350.0,30.0,81.035,81.035,104.748,9,0,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,3,65,63.707,2614.592,615.215,350.0,cruise,350.0,30.0,81.035,81.035,104.748,9,0,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,3,65,72.371,2570.369,1191.101,350.0,cruise,350.0,30.0,81.035,81.035,104.748,9,0,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,3,65,81.035,2526.147,1766.987,350.0,cruise,350.0,30.0,81.035,81.035,104.748,9,0,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,3,65,81.035,2526.147,1766.987,350.0,descend,350.0,30.0,81.035,81.035,104.748,9,0,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,3,65,88.939,2526.147,1766.987,310.479,descend,350.0,30.0,81.035,81.035,104.748,9,0,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,3,65,96.843,2526.147,1766.987,270.957,descend,350.0,30.0,81.035,81.035,104.748,9,0,240.0,152.4,0.0,0.0,0.0
S3,continuous,B,3,65,104.748,2526.147,1766.987,231.436,descend,350.0,30.0,81.035,81.035,104.748,9,0,240.0,152.4,0.0,0.0,0.0
