scenario_id,sweep,model,flight_id,aircraft_id,time_s,x,y,z,phase,cruise_altitude,start_time,cruise_arrival_time,descent_start_time,end_time,origin_id,destination_id,speed_kmh,safety_distance_m,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s
S4,continuous,A,0,16,0.0,754.972,843.737,112.936,climb,300.0,0.0,55.484,55.484,64.894,26,7,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,0,16,9.353,754.972,843.737,159.702,climb,300.0,0.0,55.484,55.484,64.894,26,7,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,0,16,18.706,754.972,843.737,206.468,climb,300.0,0.0,55.484,55.484,64.894,26,7,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,0,16,28.06,754.972,843.737,253.234,climb,300.0,0.0,55.484,55.484,64.894,26,7,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,0,16,37.413,754.972,843.737,300.0,climb,300.0,0.0,55.484,55.484,64.894,26,7,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,0,16,37.413,754.972,843.737,300.0,cruise,300.0,0.0,55.484,55.484,64.894,26,7,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,0,16,46.448,1354.046,906.564,300.0,cruise,300.0,0.0,55.484,55.484,64.894,26,7,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,0,16,55.484,1953.12,969.39,300.0,cruise,300.0,0.0,55.484,55.484,64.894,26,7,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,0,16,55.484,1953.12,969.39,300.0,descend,300.0,0.0,55.484,55.484,64.894,26,7,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,0,16,64.894,1953.12,969.39,252.949,descend,300.0,0.0,55.484,55.484,64.894,26,7,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,1,137,10.0,3853.101,3362.136,294.932,climb,300.0,10.0,20.438,20.438,61.015,14,20,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,1,137,11.014,3853.101,3362.136,300.0,climb,300.0,10.0,20.438,20.438,61.015,14,20,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,1,137,11.014,3853.101,3362.136,300.0,cruise,300.0,10.0,20.438,20.438,61.015,14,20,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,1,137,20.438,3262.259,3148.393,300.0,cruise,300.0,10.0,20.438,20.438,61.015,14,20,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,1,137,20.438,3262.259,3148.393,300.0,descend,300.0,10.0,20.438,20.438,61.015,14,20,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,1,137,28.554,3262.259,3148.393,259.423,descend,300.0,10.0,20.438,20.438,61.015,14,20,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,1,137,36.669,3262.259,3148.393,218.847,descend,300.0,10.0,20.438,20.438,61.015,14,20,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,1,137,44.784,3262.259,3148.393,178.27,descend,300.0,10.0,20.438,20.438,61.015,14,20,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,1,137,52.9,3262.259,3148.393,137.693,descend,300.0,10.0,20.438,20.438,61.015,14,20,240.0,152.4,0.0,0.0,0.0
S4,continuous,A,1,137,61.015,3262.259,3148.393,97.117,descend,300.0,10.0,20.438,20.438,61.015,14,20,240.0,152.4,0.0,0.0,0.0
