aircraft_id,mission_count
0,5
1,4
2,5
3,11
4,9
5,5
6,3
7,3
8,5
9,7
10,5
11,6
12,8
13,8
14,8
15,1
16,2
17,4
18,6
19,4
20,8
21,4
22,7
23,3
24,1
25,4
26,7
27,6
28,2
29,5
30,6
31,5
32,4
33,7
34,3
35,7
36,7
37,5
38,5
39,4
40,11
41,2
42,6
43,4
44,9
45,5
46,6
47,3
48,7
49,6
50,8
51,5
52,10
53,6
54,5
55,9
56,7
57,5
58,3
59,3
60,6
61,11
62,4
63,4
64,3
65,5
66,6
67,3
68,7
69,2
70,4
71,5
72,2
73,3
74,4
75,2
76,6
77,5
78,5
79,6
80,2
81,4
82,6
83,4
84,6
85,4
86,4
87,6
88,7
89,10
90,6
91,8
92,4
93,6
94,3
95,3
96,5
97,12
98,4
99,4
100,5
101,4
102,9
103,5
104,8
105,6
106,2
107,5
108,7
109,2
110,8
111,7
112,7
113,2
114,8
115,5
116,9
117,3
118,5
119,6
120,6
121,8
122,6
123,3
124,3
125,7
126,5
127,6
128,6
129,5
130,4
131,7
132,5
133,7
134,9
135,2
136,3
137,7
138,4
139,3
140,7
141,6
142,2
143,3
144,3
145,6
146,5
147,6
148,3
149,8
150,5
151,7
152,1
153,7
154,5
155,5
156,7
157,3
158,2
159,6
160,8
161,4
162,3
163,6
164,6
165,5
166,5
167,5
168,7
169,4
170,6
171,8
172,9
173,4
174,7
175,6
176,7
177,5
178,7
179,5
180,6
181,8
182,2
183,3
184,5
185,6
186,4
187,12
188,4
189,8
190,5
191,5
192,6
193,2
194,7
195,6
196,7
197,7
198,7
199,7
