aircraft_id,mission_count
0,5
1,2
2,4
3,6
4,2
5,8
6,3
7,5
8,6
9,1
10,6
11,4
12,4
13,5
14,3
15,5
16,3
17,8
18,5
19,4
20,7
21,9
22,13
23,8
24,5
25,6
26,9
27,6
28,4
29,5
30,5
31,3
32,3
33,6
34,5
35,6
36,9
37,3
38,3
39,6
40,4
41,5
42,6
43,10
44,4
45,2
46,2
47,3
48,3
49,4
50,4
51,2
52,7
53,4
54,2
55,4
56,8
57,4
58,4
59,6
60,2
61,6
62,8
63,8
64,4
65,2
66,4
67,4
68,3
69,5
70,2
71,10
72,5
73,8
74,3
75,10
76,3
77,7
78,7
79,6
80,5
81,7
82,1
83,6
84,5
85,3
86,6
87,4
88,6
89,9
90,1
91,4
92,3
93,6
94,5
95,2
96,6
97,8
98,9
99,5
100,2
101,7
102,11
103,8
104,5
105,7
106,6
107,6
108,3
109,7
110,5
111,2
112,5
113,5
114,10
115,3
116,7
117,5
118,4
119,1
120,7
121,7
122,7
123,6
124,3
125,4
126,4
127,4
128,9
129,6
130,3
131,4
132,6
133,7
134,2
135,5
136,10
137,6
138,4
139,6
140,8
141,4
142,5
143,3
144,11
145,5
146,6
147,6
148,6
149,7
150,1
151,4
152,8
153,6
154,5
155,7
156,2
157,5
158,6
159,8
160,6
161,5
162,2
163,4
164,5
165,10
166,8
167,7
168,8
169,4
170,7
171,4
172,6
173,6
174,3
175,8
176,8
177,5
178,3
179,5
180,4
181,13
182,11
183,5
184,3
185,5
186,7
187,7
188,6
189,3
190,4
191,7
192,5
193,8
194,10
195,8
196,6
197,4
198,7
199,5
