aircraft_id,mission_count
0,4
1,7
2,3
3,5
4,6
5,6
6,6
7,4
8,1
9,7
10,4
11,3
12,7
13,5
14,7
15,9
16,4
17,5
18,3
19,3
20,5
21,6
22,7
23,9
24,4
25,4
26,7
27,5
28,10
29,5
30,6
31,5
32,6
33,5
34,7
35,4
36,6
37,6
38,2
39,6
40,2
41,7
42,4
43,7
44,7
45,6
46,4
47,7
48,4
49,9
50,5
51,5
52,4
53,3
54,5
55,5
56,6
57,3
58,2
59,9
60,6
61,8
62,6
63,6
64,5
65,4
66,5
67,9
68,4
69,4
70,6
71,3
72,5
73,5
74,4
75,7
76,5
77,4
78,3
79,4
80,4
81,4
82,3
83,4
84,9
85,8
86,8
87,4
88,8
89,5
90,3
91,8
92,7
93,6
94,5
95,6
96,5
97,7
98,3
99,6
100,6
101,4
102,6
103,5
104,6
105,4
106,5
107,6
108,8
109,3
110,5
111,5
112,6
113,3
114,6
115,6
116,5
117,7
118,4
119,7
120,6
121,6
122,5
123,4
124,2
125,5
126,5
127,8
128,6
129,6
130,4
131,9
132,5
133,7
134,6
135,3
136,4
137,6
138,6
139,6
140,3
141,5
142,1
143,5
144,5
145,6
146,3
147,8
148,6
149,4
150,9
151,5
152,6
153,4
154,3
155,8
156,4
157,5
158,8
159,6
160,5
161,5
162,4
163,4
164,5
165,6
166,5
167,4
168,5
169,9
170,6
171,5
172,5
173,7
174,7
175,10
176,3
177,10
178,7
179,4
180,5
181,4
182,7
183,6
184,4
185,6
186,6
187,7
188,10
189,6
190,4
191,6
192,5
193,6
194,5
195,8
196,5
197,2
198,3
199,5
