scenario_id,sweep,model,flight_id,aircraft_id,planned_start_time,start_time,cruise_arrival_time,descent_start_time,end_time,delay_s,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s,takeoff_pad_start_s,takeoff_pad_end_s,landing_pad_start_s,landing_pad_end_s,cruise_altitude,distance_m,detour_distance_m,building_risks,building_collisions,path_changes,altitude_changes
S5,continuous,D,0,224,0.0,0.0,84.03814476456927,84.03814476456927,132.01689702142983,0.0,0.0,0.0,0.0,0.0,0.0,122.01689702142984,122.01689702142984,350.0,2996.124343583062,0.0,0,0,0,1
S5,continuous,D,1,142,10.0,10.0,117.89127313824446,117.89127313824446,174.70289941306675,0.0,0.0,0.0,0.0,10.0,10.0,164.70289941306675,164.70289941306675,350.0,3844.995199634214,0.0,0,0,0,1
S5,continuous,D,2,47,20.0,20.0,81.92468290212213,81.92468290212213,85.03459965793509,0.0,0.0,0.0,0.0,20.0,20.0,81.92468290212213,81.92468290212213,300.0,2651.162612978749,0.0,0,0,0,0
S5,continuous,D,3,262,30.0,30.0,119.89631117560465,119.89631117560465,172.09972004189063,0.0,0.0,0.0,0.0,30.0,30.0,162.09972004189063,162.09972004189063,350.0,4987.48760635569,0.0,0,0,0,1
S5,continuous,D,4,230,40.0,40.0,142.82083563392752,142.82083563392752,175.3772620512746,0.0,0.0,0.0,0.0,40.0,40.0,165.3772620512746,165.3772620512746,300.0,4035.3516435246233,0.0,0,0,0,0
S5,continuous,D,5,290,50.0,50.0,168.83626357581676,168.83626357581676,225.64788985063905,0.0,0.0,0.0,0.0,50.0,50.0,215.64788985063905,215.64788985063905,350.0,5513.916082217127,0.0,0,0,0,1
S5,continuous,D,6,94,60.0,60.0,140.10683480647378,140.10683480647378,190.7641859885318,0.0,0.0,0.0,0.0,60.0,60.0,180.7641859885318,180.7641859885318,350.0,4526.871404664749,0.0,0,0,0,1
S5,continuous,D,7,33,70.0,70.0,144.7747866456983,144.7747866456983,168.10551445920447,0.0,0.0,0.0,0.0,70.0,70.0,158.10551445920447,158.10551445920447,300.0,2086.4916078245556,0.0,0,0,0,0
S5,continuous,D,8,279,80.0,80.0,163.0673618909853,163.0673618909853,196.93469644195014,0.0,0.0,0.0,0.0,80.0,80.0,186.93469644195014,186.93469644195014,350.0,2860.848396814651,0.0,0,0,0,1
S5,continuous,D,9,131,90.0,90.0,203.34359874869952,203.34359874869952,236.87354897749734,0.0,0.0,0.0,0.0,90.0,90.0,226.87354897749734,226.87354897749734,350.0,4270.539208217506,0.0,0,0,0,1
S5,continuous,D,10,0,100.0,100.0,200.0858837690273,200.0858837690273,249.44415855913033,0.0,0.0,0.0,0.0,100.0,100.0,239.44415855913033,239.44415855913033,350.0,3960.3603260290106,0.0,0,0,0,1
S5,continuous,D,11,22,110.0,110.0,227.90272053144204,227.90272053144204,235.30177547407624,0.0,0.0,0.0,0.0,110.0,110.0,227.90272053144204,227.90272053144204,300.0,5332.253360053177,0.0,0,0,0,0
S5,continuous,D,12,55,120.0,120.0,211.85651970888821,211.85651970888821,262.51387089094624,0.0,0.0,0.0,0.0,120.0,120.0,252.51387089094624,252.51387089094624,350.0,3450.692473556714,0.0,0,0,0,1
S5,continuous,D,13,73,130.0,130.0,216.06591329578598,216.06591329578598,263.52043647869607,0.0,0.0,0.0,0.0,130.0,130.0,253.5204364786961,253.5204364786961,350.0,3265.5138086482852,0.0,0,0,0,1
S5,continuous,D,14,118,140.0,260.0,372.33873543365706,372.33873543365706,421.6970102237601,120.0,0.0,0.0,0.0,260.0,260.0,411.6970102237601,411.6970102237601,350.0,4232.656782580277,0.0,0,0,0,1
S5,continuous,D,15,98,150.0,150.0,214.76518369386935,214.76518369386935,263.12441932885224,0.0,0.0,0.0,0.0,150.0,150.0,253.12441932885224,253.12441932885224,300.0,2483.5821368881006,0.0,0,0,0,0
S5,continuous,D,16,260,160.0,160.0,235.27889026522854,235.27889026522854,240.97826147760824,0.0,0.0,0.0,0.0,160.0,160.0,235.27889026522854,235.27889026522854,300.0,2817.4438050712743,0.0,0,0,0,0
S5,continuous,D,17,80,170.0,170.0,281.47868228186564,281.47868228186564,315.1418112690781,0.0,0.0,0.0,0.0,170.0,170.0,305.1418112690781,305.1418112690781,300.0,5035.304513637642,0.0,0,0,0,0
S5,continuous,D,18,200,180.0,180.0,241.9246829021221,241.9246829021221,245.03459965793505,0.0,0.0,0.0,0.0,180.0,180.0,241.9246829021221,241.9246829021221,300.0,2651.162612978749,0.0,0,0,0,0
S5,continuous,D,19,93,190.0,310.0,362.2737321633568,362.2737321633568,394.8301585807039,120.0,0.0,0.0,0.0,310.0,310.0,384.8301585807039,384.8301585807039,300.0,2196.6840122013214,0.0,0,0,0,0
S5,continuous,D,20,234,200.0,200.0,265.0131846142213,265.0131846142213,268.1893586773723,0.0,0.0,0.0,0.0,200.0,200.0,265.0131846142213,265.0131846142213,300.0,1334.94537030765,0.0,0,0,0,0
S5,continuous,D,21,165,210.0,210.0,258.7586401043782,258.7586401043782,274.45801131675785,0.0,0.0,0.0,0.0,210.0,210.0,264.45801131675785,264.45801131675785,350.0,2520.627996411981,0.0,0,0,0,1
S5,continuous,D,22,47,220.0,220.0,303.4953759357408,303.4953759357408,337.0253261645386,0.0,0.0,0.0,0.0,220.0,220.0,327.0253261645386,327.0253261645386,350.0,2775.184847670053,0.0,0,0,0,1
S5,continuous,D,23,280,230.0,290.0,358.2098395975631,358.2098395975631,398.29595254894184,60.0,0.0,0.0,0.0,290.0,290.0,388.29595254894184,388.29595254894184,350.0,1703.9929258714158,0.0,0,0,0,1
S5,continuous,D,24,41,240.0,240.0,274.9412365786743,274.9412365786743,298.27196439218045,0.0,0.0,0.0,0.0,240.0,240.0,288.27196439218045,288.27196439218045,300.0,590.7591123107954,0.0,0,0,0,0
S5,continuous,D,25,175,250.0,250.0,355.15866479377985,355.15866479377985,368.33483885693084,0.0,0.0,0.0,0.0,250.0,250.0,358.33483885693084,358.33483885693084,350.0,4204.689497867396,0.0,0,0,0,1
S5,continuous,D,26,141,260.0,260.0,276.0510589787711,276.0510589787711,316.70841016082915,0.0,0.0,0.0,0.0,260.0,260.0,306.70841016082915,306.70841016082915,300.0,1240.3143544029772,0.0,0,0,0,0
S5,continuous,D,27,241,270.0,330.0,423.4496651601511,423.4496651601511,438.70709666940644,60.0,0.0,0.0,0.0,330.0,330.0,428.70709666940644,428.70709666940644,300.0,3419.547881275643,0.0,0,0,0,0
S5,continuous,D,28,110,280.0,280.0,332.7661931743934,332.7661931743934,373.88483659633516,0.0,0.0,0.0,0.0,280.0,280.0,363.88483659633516,363.88483659633516,300.0,1381.3163728962,0.0,0,0,0,0
S5,continuous,D,29,232,290.0,290.0,350.9404873942854,350.9404873942854,395.5941435819659,0.0,0.0,0.0,0.0,290.0,290.0,385.5941435819659,385.5941435819659,300.0,1303.8145764001522,0.0,0,0,0,0
S5,continuous,D,30,116,300.0,300.0,403.7982709791898,403.7982709791898,421.0988818712513,0.0,0.0,0.0,0.0,300.0,300.0,411.0988818712513,411.0988818712513,350.0,4534.410821071271,0.0,0,0,0,1
S5,continuous,D,31,75,310.0,310.0,418.38414690790665,418.38414690790665,466.36506527314975,0.0,0.0,0.0,0.0,310.0,310.0,456.36506527314975,456.36506527314975,350.0,3866.6948548627156,0.0,0,0,0,1
S5,continuous,D,32,198,320.0,320.0,372.4159827343347,372.4159827343347,395.9459329631325,0.0,0.0,0.0,0.0,320.0,320.0,385.9459329631325,385.9459329631325,300.0,1382.4028647604432,0.0,0,0,0,0
S5,continuous,D,33,140,330.0,330.0,378.13896233791263,378.13896233791263,393.396393847168,0.0,0.0,0.0,0.0,330.0,330.0,383.396393847168,383.396393847168,300.0,2934.0900886437066,0.0,0,0,0,0
S5,continuous,D,34,42,340.0,340.0,416.22115641064676,416.22115641064676,429.39733047379775,0.0,0.0,0.0,0.0,340.0,340.0,419.39733047379775,419.39733047379775,350.0,3058.8056670493743,0.0,0,0,0,1
S5,continuous,D,35,83,350.0,350.0,444.8506105774997,444.8506105774997,482.8315289427428,0.0,0.0,0.0,0.0,350.0,350.0,472.8315289427428,472.8315289427428,300.0,4017.9279059798155,0.0,0,0,0,0
S5,continuous,D,36,40,360.0,420.0,504.9100119631913,504.9100119631913,567.0021778854816,60.0,0.0,0.0,0.0,420.0,420.0,557.0021778854816,557.0021778854816,350.0,3903.44802971501,0.0,0,0,0,1
S5,continuous,D,37,223,370.0,370.0,475.6381995023844,475.6381995023844,518.1946259197315,0.0,0.0,0.0,0.0,370.0,370.0,508.1946259197315,508.1946259197315,350.0,5166.843134936198,0.0,0,0,0,1
S5,continuous,D,38,220,380.0,380.0,414.4353056408398,414.4353056408398,427.3098202928684,0.0,0.0,0.0,0.0,380.0,380.0,417.3098202928684,417.3098202928684,300.0,715.9696339057467,0.0,0,0,0,0
