scenario_id,sweep,model,flight_id,aircraft_id,planned_start_time,start_time,cruise_arrival_time,descent_start_time,end_time,delay_s,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s,takeoff_pad_start_s,takeoff_pad_end_s,landing_pad_start_s,landing_pad_end_s,cruise_altitude,distance_m,detour_distance_m,building_risks,building_collisions,path_changes,altitude_changes
S5,continuous,E,0,176,0.0,0.0,100.19837943013181,100.19837943013181,138.1925760981443,0.0,0.0,0.0,0.0,0.0,30.0,128.1925760981443,318.1925760981443,350.0,3643.8178810713803,0.0,0,0,0,1
S5,continuous,E,1,224,10.0,10.0,86.43851467132711,86.43851467132711,132.26052242540976,0.0,0.0,0.0,0.0,10.0,40.0,122.26052242540977,312.26052242540976,350.0,2560.3928477984095,0.0,0,0,0,1
S5,continuous,E,2,251,20.0,20.0,97.77885140590737,97.77885140590737,99.98940897440222,0.0,0.0,0.0,0.0,20.0,50.0,97.77885140590737,287.7788514059074,300.0,3089.8997462623643,0.0,0,0,0,0
S5,continuous,E,3,91,30.0,30.0,59.07362449229254,59.07362449229254,99.68469904183301,0.0,0.0,0.0,0.0,30.0,60.0,89.68469904183301,279.684699041833,300.0,1719.9966879182164,0.0,0,0,0,0
S5,continuous,E,4,162,40.0,40.0,183.0249295422745,183.0249295422745,210.9267269825174,0.0,0.0,0.0,0.0,40.0,70.0,200.9267269825174,390.9267269825174,400.0,5936.821359464519,0.0,0,0,0,1
S5,continuous,E,5,213,50.0,50.0,94.66293760691858,94.66293760691858,114.60725490413505,0.0,0.0,0.0,0.0,50.0,80.0,104.60725490413505,294.60725490413506,350.0,1086.4965664612666,0.0,0,0,0,1
S5,continuous,E,6,154,60.0,60.0,101.18547813519517,101.18547813519517,105.15025645379434,0.0,0.0,0.0,0.0,60.0,90.0,101.18547813519517,291.1854781351952,300.0,1529.4499827088353,0.0,0,0,0,0
S5,continuous,E,7,81,70.0,70.0,140.06700580028962,140.06700580028962,162.78769385406312,0.0,0.0,0.0,0.0,70.0,100.0,152.78769385406312,342.78769385406315,350.0,3404.0907068205647,0.0,0,0,0,1
S5,continuous,E,8,178,80.0,80.0,97.29117358055088,97.29117358055088,103.34628635165464,0.0,0.0,0.0,0.0,80.0,110.0,97.29117358055088,287.2911735805509,300.0,912.4313429127028,0.0,0,0,0,0
S5,continuous,E,9,167,90.0,90.0,195.90004986350388,195.90004986350388,218.28891127108676,0.0,0.0,0.0,0.0,90.0,120.0,208.28891127108676,398.28891127108676,350.0,4771.20904967899,0.0,0,0,0,1
S5,continuous,E,10,256,100.0,100.0,177.57299764246778,177.57299764246778,207.17191252726263,0.0,0.0,0.0,0.0,100.0,130.0,197.17191252726263,387.17191252726263,400.0,3479.6474028316106,0.0,0,0,0,1
S5,continuous,E,11,37,110.0,110.0,223.32137117932177,223.32137117932177,252.2808425476839,0.0,0.0,0.0,0.0,110.0,140.0,242.2808425476839,432.2808425476839,350.0,5182.409830268827,0.0,0,0,0,1
S5,continuous,E,12,63,120.0,120.0,181.88838356391273,181.88838356391273,201.93280169197496,0.0,0.0,0.0,0.0,120.0,150.0,191.93280169197496,381.932801691975,300.0,3455.454772460248,0.0,0,0,0,0
S5,continuous,E,13,83,130.0,294.60725490413506,341.16120595931073,341.16120595931073,383.4754502448913,164.60725490413506,164.60725490413506,0.0,164.60725490413506,294.60725490413506,324.60725490413506,373.4754502448913,563.4754502448914,300.0,2701.935058444601,0.0,0,0,0,0
S5,continuous,E,14,76,140.0,140.0,213.67297668051464,213.67297668051464,257.83097346928116,0.0,0.0,0.0,0.0,140.0,170.0,247.83097346928116,437.83097346928116,350.0,2367.7035935843323,0.0,0,0,0,1
S5,continuous,E,15,84,150.0,150.0,211.26624343494348,211.26624343494348,237.41466401282727,0.0,0.0,0.0,0.0,150.0,180.0,227.41466401282727,417.4146640128273,300.0,3903.22660420364,0.1758882917133633,1,0,1,0
S5,continuous,E,16,29,160.0,160.0,208.4142270976317,208.4142270976317,222.80215887567832,0.0,0.0,0.0,0.0,160.0,190.0,212.80215887567832,402.8021588756783,350.0,2635.645487073629,0.0,0,0,0,1
S5,continuous,E,17,250,170.0,437.83097346928116,494.95063771885947,494.95063771885947,507.67132577263294,267.83097346928116,207.83097346928116,0.0,207.83097346928116,437.83097346928116,467.83097346928116,497.67132577263294,687.6713257726329,300.0,1765.1712549334839,0.0,0,0,0,0
