aircraft_id,mission_count
0,2
1,1
2,2
3,3
4,0
5,1
6,0
7,4
8,0
9,2
10,3
11,3
12,1
13,6
14,3
15,1
16,4
17,4
18,5
19,5
20,3
21,3
22,6
23,0
24,3
25,7
26,6
27,2
28,1
29,3
30,3
31,3
32,3
33,3
34,5
35,0
36,5
37,3
38,3
39,3
40,1
41,2
42,3
43,3
44,2
45,8
46,1
47,0
48,2
49,0
50,2
51,2
52,3
53,5
54,3
55,3
56,4
57,4
58,2
59,2
60,6
61,3
62,3
63,1
64,1
65,1
66,4
67,1
68,5
69,1
70,1
71,3
72,3
73,2
74,4
75,2
76,5
77,3
78,0
79,3
80,2
81,6
82,5
83,0
84,2
85,2
86,4
87,2
88,4
89,4
90,5
91,5
92,3
93,0
94,2
95,3
96,2
97,3
98,5
99,4
100,6
101,1
102,3
103,4
104,1
105,5
106,1
107,3
108,0
109,2
110,3
111,1
112,4
113,2
114,3
115,0
116,3
117,3
118,2
119,2
120,4
121,1
122,2
123,1
124,4
125,5
126,7
127,1
128,4
129,1
130,1
131,5
132,5
133,5
134,4
135,5
136,3
137,2
138,4
139,3
140,7
141,5
142,3
143,3
144,2
145,4
146,5
147,7
148,5
149,1
150,4
151,3
152,5
153,0
154,4
155,8
156,4
157,1
158,3
159,2
160,4
161,2
162,5
163,4
164,3
165,4
166,3
167,4
168,6
169,4
170,3
171,2
172,4
173,0
174,2
175,3
176,5
177,3
178,1
179,4
180,1
181,4
182,1
183,4
184,3
185,4
186,3
187,2
188,1
189,3
190,1
191,3
192,5
193,4
194,3
195,4
196,5
197,3
198,7
199,4
200,3
201,2
202,2
203,5
204,3
205,1
206,1
207,2
208,7
209,4
210,3
211,1
212,2
213,1
214,4
215,2
216,5
217,2
218,3
219,3
220,4
221,3
222,3
223,1
224,4
225,5
226,6
227,4
228,2
229,1
230,1
231,5
232,4
233,3
234,6
235,0
236,3
237,3
238,5
239,2
240,5
241,5
242,4
243,0
244,6
245,4
246,1
247,3
248,2
249,3
250,1
251,3
252,5
253,2
254,4
255,4
256,3
257,3
258,1
259,3
260,1
261,3
262,3
263,1
264,5
265,2
266,4
267,0
268,1
269,2
270,2
271,4
272,5
273,4
274,3
275,7
276,1
277,1
278,2
279,4
280,3
281,5
282,3
283,4
284,3
285,4
286,1
287,2
288,4
289,4
290,5
291,3
292,2
293,2
294,4
295,5
296,1
297,2
298,5
299,3
300,1
301,2
302,4
303,1
304,4
305,4
306,1
307,5
308,1
309,2
310,3
311,2
312,2
313,4
314,4
315,2
316,3
317,2
318,8
319,3
320,3
321,1
322,3
323,3
324,2
325,5
326,2
327,3
328,3
329,2
330,2
331,4
332,7
333,1
334,5
335,1
336,6
337,1
338,0
339,2
340,3
341,2
342,1
343,2
344,3
345,2
346,3
347,1
348,4
349,2
350,3
351,5
352,3
353,6
354,2
355,2
356,4
357,1
358,6
359,3
