scenario_id,sweep,model,aircraft_count,speed_kmh,speed_mps,building_density,building_count,vertiport_count,actual_vertiport_count,safety_distance_m,safety_label,pad_occupancy_enabled,weather,total_flights,success_flights,failed_flights,building_risk_count,building_collision_count,aircraft_collision_count,aircraft_conflict_sample_count,collision_risk_count,avg_flight_distance_m,avg_flight_time_s,avg_delay_s,avg_takeoff_pad_delay_s,avg_landing_pad_delay_s,avg_pad_delay_s,max_pad_delay_s,pad_wait_flight_count,avg_detour_distance_m,avg_altitude_changes,avg_path_changes,scenario_name,description,map_width,map_height,grid_size,road_width,fleet_size,duration_s,mission_interval_s,generated_missions,completed_within_duration,completed_after_duration,active_vehicle_count,avg_missions_per_active_vehicle,max_missions_per_vehicle,run_id,cycle,run_seed,wallclock_model
S1,continuous,A,75,240.0,66.66666666666667,0.35,319,8,8,152.4,500ft,False,disabled,1080,81,999,1209,1209,1039,1188,2248,881.9042040365678,49.32890530422875,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1075,5,75,14.4,24,S1_cycle0000_A_seed1000,0,1000,A
S1,continuous,B,75,240.0,66.66666666666667,0.35,324,8,8,152.4,500ft,False,disabled,1080,149,931,33,0,1095,1402,1095,1240.5553814247864,82.47314586612119,0.0,0.0,0.0,0.0,0.0,0,0.08764132153948,0.5416666666666666,0.0305555555555555,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1073,7,75,14.4,23,S1_cycle0000_B_seed1001,0,1001,B
S1,continuous,C,75,240.0,66.66666666666667,0.35,313,8,8,152.4,500ft,False,disabled,1080,173,907,794,794,583,583,1377,1188.270810167499,87.412126183201,69.72222222222223,0.0,0.0,0.0,0.0,0,0.0,0.3472222222222222,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1064,16,75,14.4,23,S1_cycle0000_C_seed1002,0,1002,C
S1,continuous,D,75,240.0,66.66666666666667,0.35,336,8,8,152.4,500ft,False,disabled,1080,172,908,50,11,903,929,914,1213.475151023878,112.12903025185996,124.55555555555556,0.0,0.0,0.0,0.0,0,0.0725311868186738,0.7787037037037037,0.0342592592592592,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1054,26,75,14.4,21,S1_cycle0000_D_seed1003,0,1003,D
S1,continuous,E,75,240.0,66.66666666666667,0.35,333,8,8,152.4,500ft,True,disabled,1080,212,868,8,8,2538,50624,2546,1251.132970344555,882.9550944747077,1281.9219819374664,1256.3108708263558,761.2585270860096,2017.569397912362,4704.55821819499,1070,0.0017532319413925,0.8083333333333333,0.0064814814814814,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,359,721,75,14.4,18,S1_cycle0000_E_seed1004,0,1004,E
S1,continuous,A,75,240.0,66.66666666666667,0.35,330,8,8,152.4,500ft,False,disabled,1080,29,1051,1479,1479,909,1149,2388,1165.7976126699507,68.34978778967836,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1073,7,75,14.4,22,S1_cycle0001_A_seed1100,1,1100,A
S1,continuous,B,75,240.0,66.66666666666667,0.35,310,8,8,152.4,500ft,False,disabled,1080,106,974,67,0,1228,1621,1228,1135.8167043882434,89.37780125749639,0.0,0.0,0.0,0.0,0.0,0,0.1406134536176229,0.6657407407407407,0.062037037037037,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1074,6,75,14.4,25,S1_cycle0001_B_seed1101,1,1101,B
S1,continuous,C,75,240.0,66.66666666666667,0.35,319,8,8,152.4,500ft,False,disabled,1080,151,929,448,448,737,747,1185,1130.5567559205588,95.3162322941356,113.72222222222224,0.0,0.0,0.0,0.0,0,0.0,0.4,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1059,21,75,14.4,22,S1_cycle0001_C_seed1102,1,1102,C
S1,continuous,D,75,240.0,66.66666666666667,0.35,309,8,8,152.4,500ft,False,disabled,1080,265,815,27,2,704,707,706,1213.8827615039097,102.87962773179127,93.33333333333331,0.0,0.0,0.0,0.0,0,0.0220739381000358,0.7351851851851852,0.025,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1062,18,75,14.4,23,S1_cycle0001_D_seed1103,1,1103,D
S1,continuous,E,75,240.0,66.66666666666667,0.35,313,8,8,152.4,500ft,True,disabled,1080,164,916,17,17,2773,41965,2790,1293.153066132506,853.1322211825815,1340.179459856377,1311.8461265230435,727.6021994207814,2039.4483259438227,3785.4623408900698,1071,0.0081415400392068,0.7509259259259259,0.0129629629629629,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,353,727,75,14.4,19,S1_cycle0001_E_seed1104,1,1104,E
S1,continuous,A,75,240.0,66.66666666666667,0.35,323,8,8,152.4,500ft,False,disabled,1080,67,1013,1061,1061,1159,1453,2220,1064.1841946231796,70.75887493070927,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1074,6,75,14.4,22,S1_cycle0002_A_seed1200,2,1200,A
S1,continuous,B,75,240.0,66.66666666666667,0.35,312,8,8,152.4,500ft,False,disabled,1080,129,951,44,0,1106,1431,1106,1116.862330561194,84.98856708931287,0.0,0.0,0.0,0.0,0.0,0,0.039310040611218,0.6351851851851852,0.0407407407407407,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1072,8,75,14.4,22,S1_cycle0002_B_seed1201,2,1201,B
S1,continuous,C,75,240.0,66.66666666666667,0.35,326,8,8,152.4,500ft,False,disabled,1080,178,902,933,933,561,564,1494,1106.1409023978697,77.71244849094336,67.77777777777777,0.0,0.0,0.0,0.0,0,0.0,0.2972222222222222,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1061,19,75,14.4,23,S1_cycle0002_C_seed1202,2,1202,C
S1,continuous,D,75,240.0,66.66666666666667,0.35,342,8,8,152.4,500ft,False,disabled,1080,224,856,29,0,778,783,778,1079.762531039852,100.27153346480344,116.33333333333331,0.0,0.0,0.0,0.0,0,0.0775366569233181,0.8157407407407408,0.0268518518518518,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1057,23,75,14.4,26,S1_cycle0002_D_seed1203,2,1203,D
